,0
Base,5980629.906594115
BottomUp,11279856.511576377
JPP,26423338.763246123
OLS,5791661.729845292
OLSv,5749258.653779744
WLS,7480928.583099477
WLSv,5899319.892361693
MinTShr,7525216.267890644
MinTShrv,5711616.648008722
EnergyScore_Opt,5129809.86889406
