,t,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,1,1.45231868436939,1.64702181243247,6.26529114928077,1.19734997656089,1.45231868436939,1.32843648509339,1.45231868436939,17.0339428740449,1.45231868436939,1.37954103827051,1.45231868436939,1.4182495434027569,1.4442924817616671
1,1,2,2.42692788720041,2.26891616793123,4.06133793142043,1.86220516624304,1.52262111984085,2.1664951833022,1.51782230363576,14.7470871717025,7.08198069354472,2.00273462298224,1.5775498776169,1.5723624844118775,1.963702079791562
2,1,3,0.958951041087521,0.86104229573019,3.16254115443603,0.92595143017119,1.30625672194556,0.75044347830678,1.29642358757936,2.4899709627851,7.0980499393512,0.897729728046204,1.35588720860582,0.5635836629627629,1.5611477732137473
3,1,4,2.60820675106531,2.60820675106531,3.69572781352554,2.40095944362776,2.0664934489729,2.57583706919121,2.0680034303025,7.68855793633044,3.6076062944249,2.45159528299954,2.05214362590327,1.6199069564374413,1.5409445454756687
4,1,5,0.49949822800217,0.49949822800217,1.38553026080382,0.508033427929218,0.66195845745637,0.437316967711777,0.665119333333287,7.20168118987899,3.7533299464953,0.475538672552818,0.630109216913815,1.5188037388889835,3.1080001989345893
5,1,6,1.15298425253701,1.15298425253701,2.33130426261162,1.37536334705192,1.57491190750048,1.271409520204,1.57776594495047,1.52673809995135,4.23689697097372,1.34255105636679,1.62022139958458,1.2965665754644882,2.940456163160105
6,1,7,0.783992370730557,0.783992370730557,1.60111983959794,0.627620943531938,0.581953923890839,0.670402679469262,0.566777649890293,1.55610892332824,3.00413877961419,0.673422024369327,0.587538908386305,1.334030516233801,0.6607954494138787
7,2,1,1.36659604674556,1.77600420359595,6.14513270510985,1.15859192491123,1.36659604674556,1.37442656065449,1.36659604674556,16.4457151192844,1.36659604674556,1.28626386051369,1.36659604674556,1.4253784050254563,1.5579034225375377
8,2,2,2.39169730990971,2.29360210188653,4.08763961664744,1.91378150573525,1.59870374071255,2.20086107293571,1.58333803808589,14.1885552793197,6.66679626260646,1.98228654139904,1.57904056645863,1.5732925859467977,2.1284788333715614
9,2,3,0.942708517417574,0.777242148214603,3.01668526704601,0.89537733638089,1.20344069901262,0.724286510679766,1.17516435381747,2.47534249765512,6.81298385937256,0.85239953656017,1.23982643809658,0.6373089763210146,1.5643898310895938
10,2,4,2.54941110381292,2.54941110381292,3.59525001028895,2.39087914688019,2.07797762333157,2.53411390341483,2.07574695300493,7.30291155778221,3.3279494142023,2.36179714229939,2.02143429572306,1.658148669668998,1.6724836312686058
11,2,5,0.495206097460049,0.495206097460049,1.30992183003834,0.482124460256412,0.590967258042025,0.434463872802137,0.56917003276001,6.96985124987916,3.61009427045023,0.449606737573972,0.513876224374041,1.4918380822872832,3.12773358208762
12,2,6,1.02474321319153,1.02474321319153,2.21491059222117,1.34050925011444,1.50195619241889,1.22937368578791,1.48525547507994,1.4695820270314,3.95549182336008,1.27381424412374,1.46848240536351,1.3145546747774821,2.9361576032083123
13,2,7,0.754136410815773,0.754136410815773,1.57610352242023,0.510956793723402,0.495578830040532,0.568647202572396,0.48757454099794,1.39102515841153,2.99235620436614,0.577335875737093,0.539084848293202,1.373969990381669,0.7180597483504152
14,3,1,1.37530704415685,1.7266916792326,6.17797405886922,1.11201580815304,1.37530704415685,1.28404997707873,1.37530704415685,14.6215894700401,1.37530704415685,1.24411144493478,1.37530704415685,1.4676571655304438,1.340640785664329
15,3,2,2.41387810366687,2.25814928446824,4.05600963653759,1.87333568300933,1.52382424812056,2.18963017973876,1.52419675169245,12.6009712242033,6.10743074335812,1.97791535972653,1.57399692352294,1.6447192177022625,1.9337792338076611
16,3,3,0.866752736301662,0.80840026026505,3.06418777404012,0.928533392217345,1.2832393274887,0.753114613058135,1.23909863081874,2.21319988480495,5.91821777882102,0.824407368089372,1.23635897217646,0.5907393215934957,1.6257961040686792
17,3,4,2.62635795248494,2.62635795248494,3.71064150342526,2.45061175809665,2.15351361478606,2.63579662661092,2.18345607549824,6.53183366262371,3.15283857019051,2.4830062508859,2.161654835865,1.685889147507216,1.4446660168203893
18,3,5,0.430307934456829,0.430307934456829,1.36525118913248,0.497306221355932,0.613022283853793,0.429613826943807,0.60533418947113,6.18778798173957,3.23934305173213,0.444317110920019,0.555294477885613,1.4995575152282776,3.104311748985139
19,3,6,1.17703127550561,1.17703127550561,2.33880437880162,1.39139321790915,1.57104238073191,1.3067781305359,1.57021200954039,1.32142811122491,3.54135175143466,1.36606197462387,1.58638129285498,1.3610334471378156,2.9889460885989054
20,3,7,0.724914969568742,0.724914969568742,1.60456431778923,0.605098062408686,0.625532358495972,0.652123059860686,0.617136063489555,1.35586003409612,2.5079974448629,0.647710442591072,0.621044258323377,1.3032251856465236,0.6445758163913795
21,4,1,1.48261264279373,1.76472528233214,6.1868151307485,1.2277472348766,1.48261264279373,1.36902341550604,1.48261264279373,17.2286106036764,1.48261264279373,1.33959467316414,1.48261264279373,1.2283487711428733,1.2990250178351976
22,4,2,2.45997722244984,2.33225384872403,4.04734050138534,1.91069053155894,1.53060338202349,2.22438879610335,1.49929480847541,14.8088131341632,7.03076389905668,1.98739699366426,1.4682933185129,1.387464694205884,1.945327663739572
23,4,3,0.950523202534142,0.811428256674215,3.13863028494635,1.01614552849537,1.44939534751969,0.801355650888338,1.448363795622,2.50122552829326,7.00913260435928,0.961163790851488,1.44692341141687,0.6194527040625137,1.5849227255670508
