,t,Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,MinTSam,MinTSamv,MinTShr,MinTShrv,EnergyScore_Opt
0,1,454.39242764821,484.771255476545,1081.35440706456,435.504885343003,420.195425363818,446.887379656583,410.290874124505,444.480561666139,379.846755817137,399.702230711207,385.246223824187,295.2153969865103
1,2,434.213392730989,503.067130833932,1071.21676851834,417.703652436514,405.831929185563,431.132747103248,396.95520484977,411.297910520672,364.04096387436,393.855594874035,381.417747896127,298.14406203642125
2,3,443.659348274968,559.258914686522,1068.89881480817,421.363873219326,402.13249288533,448.030830448416,398.562503988442,440.708356503436,382.476095325958,395.365214465407,384.707846494593,299.6286471990572
3,4,459.328608880833,499.300720694927,1085.59961578072,436.53795304733,419.768073420402,452.423125299174,413.709968742903,440.642233065436,391.397805302077,402.474056945302,395.249289843989,298.5399116967722
4,5,444.973384695069,535.20231916258,1049.63971322981,418.088405024775,403.625911838868,438.255270332233,399.208293333431,400.756234238984,375.083691034819,381.850203167253,382.551989791485,288.08484441564246
