,t,Base_vs,BottomUp_vs,JPP_vs,OLS_vs,OLS_vsv,WLS_vs,WLS_vsv,MinTSam_vs,MinTSam_vsv,MinTShr_vs,MinTShr_vsv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,202.846530314633,201.037003493333,206.066613269921,193.70092923908,182.536684387485,199.6694536723,179.938455759805,415.233269529169,850.904407602835,197.166615518862,180.547081081499,90.55554087220597,268.5721240928921
1,2,195.059480099151,195.472839088621,199.220675200372,188.859231595645,177.598959801158,194.202173922263,174.350972957938,259.130526767966,756.723364358213,188.344237999929,172.484469353396,89.05438194445541,263.0926996262623
2,3,197.220801774152,208.560523910733,205.741335912335,190.856597107611,179.886032286565,199.136575472436,179.564349177278,507.294981681148,888.130053734368,201.655493290606,184.740787796672,90.26550452936817,277.0621863174043
3,4,203.723528779647,204.714968719955,206.54351809383,194.67610700031,183.686063610799,201.030319784297,180.855271150439,315.789317694195,830.076147112304,196.964913685589,180.601106282548,94.31242768768684,280.71077045256567
4,5,198.584560279085,204.60510178476,205.072462068921,191.398998605642,179.977047142751,198.870086033537,178.539709955838,477.502134982573,936.949675910632,198.952997051354,181.654911204821,89.51548634753678,262.50278866596403
