"","Base","BottomUp","JPP","OLS","WLS","MinTSam","MinTShr"
"1",56.2008441557797,66.2678423132407,169.612075603214,42.6699850397435,46.4565772052458,46.556992801254,41.344334065431
"2",53.6857300806606,64.135367762686,167.270692270508,39.4795938724606,43.3044181340089,45.7214565866403,39.9708728388871
"3",52.0758525635748,65.357282568174,167.917589813224,37.7087027018253,40.9772831596065,42.4026413087651,37.0259630437476
"4",54.6164147957869,70.6305378696652,169.120984462638,38.8374074713007,42.5760277173295,47.0459390094665,40.771530725017
"5",50.9895456265947,63.6278674449849,162.220152306494,39.0338089450502,42.4289993924916,44.2445363273903,39.433211054608
"6",52.1161437627123,68.339427089303,165.788796586641,37.3557811453609,41.1619789929358,42.1125951276452,36.1861862610765
"7",56.0100731213317,64.9156070436519,172.09901767472,44.2388706822267,46.6430796156691,51.6403340389958,44.6596629796487
"8",54.7539309197822,71.5115751275583,168.258589212206,40.3030505335026,44.6156271910147,46.7055997582108,39.797816594605
"9",55.6432160964802,73.7778680595897,168.004982010778,41.1527683683501,46.3579112020745,47.5696447712109,41.5464844148107
"10",59.6672106217858,72.5849889308405,177.092258646914,45.4860129695884,48.6183690940875,49.1513072435021,43.8621778600239
