"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.36068011662316,5.0256541706734,15.3425311857228,1.584280561625,1.36068011662316,2.78492516605023,1.36068011662316,0.626886112577092,1.36068011662316,1.36068011662316
1,2,4.43579688353183,4.42318394537327,9.77265417454934,3.17100083752741,2.59032198708134,3.60298507260793,2.4858636520724,2.05421250603289,2.23533268809156,2.20291163299209
1,3,2.12716540990374,2.18154185325465,5.97267570953921,2.17312584488878,2.68063131100562,2.03046422513387,2.59294285907246,2.05717946539123,2.0330686815036,1.38927947700016
1,4,5.23419991241283,5.23419991241283,9.11281752953061,5.58753073332929,6.09897743190965,5.41527506840567,6.2274413672568,7.02106358876271,7.04269989686587,6.64168409318376
1,5,9.96873382947374,9.96873382947374,14.1365723379023,9.53860760953128,8.9238003198002,9.77868926738983,8.79031817017019,8.09955538277686,7.93369084569338,6.20315797733021
1,6,4.07178463576757,4.07178463576757,7.79119349090704,5.48313620071441,6.01784506579372,5.01309628881879,5.88695492064313,5.21068253061044,5.18553823605972,4.90494692109891
1,7,5.22739312851187,5.22739312851187,6.93878406323829,3.78792866289918,3.30438519340878,4.24456177159391,3.40660916666472,4.25859470814657,4.2290546800614,8.93089549313247
2,1,1.41151562246144,4.05889627686144,15.2297318240817,1.43541534672428,1.41151562246144,2.30334599183217,1.41151562246144,0.606919976754041,1.41151562246144,1.41151562246144
2,2,3.82772246765327,3.44957284028429,9.34064154113084,2.75444607741055,2.27244854064047,3.02413081576936,2.21132413480162,1.98420725855698,2.08441398914602,2.12947002283474
2,3,1.9033972707435,2.20042055795579,6.02162398639272,2.07121282710624,2.49600318950244,1.89757202683849,2.40755894643712,1.91270807757784,1.97084219212977,1.48015874747712
2,4,5.83721054879283,5.83721054879283,9.46695458445008,6.19360589693256,6.67097192275311,6.01367007850207,6.810962865279,7.56280554285217,7.4512177040923,6.36989148461104
2,5,9.55293267607239,9.55293267607239,13.7582328126361,9.39713908084827,8.87462207995662,9.55187613828458,8.72863839840313,8.00538760732337,7.88479088514638,6.00517990694949
2,6,3.86573980581383,3.86573980581383,7.54712890305934,5.16801847060738,5.63701585526276,4.73131777719812,5.49530487886674,4.90027314014672,4.87481827937134,4.58296202209609
2,7,5.31866302243282,5.31866302243282,7.07324935500057,4.04271427852991,3.658929954885,4.43077904881146,3.76626404465226,4.44089863957971,4.43496833967752,8.93089549420983
3,1,1.47686571216733,5.2795703318816,15.4870654597101,1.70141602621333,1.47686571216733,2.94657850975315,1.47686571216733,0.621308110887413,1.47686571216733,1.47686571216733
3,2,4.28067252370781,3.99269671837428,9.81840711371554,3.02055182273517,2.44914953694839,3.3517729910815,2.31112131710408,1.79557212654501,2.16520605564528,2.38992489700484
3,3,1.87493931969986,2.13396114776427,5.98224713436799,1.82618531233292,2.37227359620738,1.63950783148876,2.25543880705205,1.65565676336286,1.64190665385983,1.43200111503403
3,4,5.12102395617652,5.12102395617652,9.10038625199318,5.48656055714246,6.0893267129549,5.28007438550306,6.22448077320682,7.02268970640432,7.10646283205186,6.63337550854462
3,5,9.80250475438812,9.80250475438812,13.8798333073545,9.36801967411778,8.69755467824228,9.6155819415395,8.54962761418286,7.82573137593472,7.6115102965875,6.108517567097
3,6,3.76811004668607,3.76811004668607,7.61328416058179,5.19837031818244,5.79033036905371,4.69271420138206,5.65072827006471,4.90745893416164,4.91355247567749,4.68035128895304
3,7,5.22809013139447,5.22809013139447,7.01450214562831,3.65654812542047,3.18951854313654,4.13418538902922,3.28361414869225,4.17076972996242,4.11474590235267,8.93089549404857
4,1,1.28026549305049,4.73943408668129,15.4280123103173,1.60003836654076,1.28026549305049,2.7002203196174,1.28026549305049,0.623918757381043,1.28026549305049,1.28026549305049
4,2,4.28448231433939,3.94717270918513,9.66460568008426,3.06608173096923,2.40294249751824,3.4216291252021,2.3110456284612,1.9431468050116,2.07646638832629,2.22678324484919
4,3,1.84519105759478,2.20935483064582,5.6110818387224,2.02784677597855,2.58299216490228,1.85852903391774,2.47122649884701,1.85431807069102,1.88706070569712,1.58624051111465
