series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv
1,2.649371919804625,9.806931714505504,16.93490509897784,4.512209505104788,2.649371919804625,6.177109086670021,2.649371919804625,2.8211479981747294,2.649371919804625,2.836962795552795,2.649371919804625
2,9.311347886396714,10.087576966904834,14.562793713196871,7.987229669740378,6.984435355844515,8.625452302118738,6.93112178945145,6.034726178426024,5.8433777131796205,6.053445451400097,5.90330772518788
3,6.407696820717559,6.23983378653203,10.527429649149033,6.782956516210495,7.399914917438265,6.486179487448732,7.347155762994336,6.456533390517864,6.562115545139568,6.477565522767462,6.602270012298424
4,5.065777478069316,5.065777478069316,7.520683389902027,4.237030215887168,4.129037372861746,4.425444772021506,4.177724941484012,4.05394944758546,4.101625726422081,4.034081650559567,4.0945060361317855
5,8.162915306215888,8.162915306215888,11.484939426970495,7.354224291662535,6.805161286595634,7.652319778588842,6.742287084824365,6.065125982148274,6.052272633078335,6.048702779996291,6.112232105435707
6,4.734096630468509,4.734096630468509,7.848007509212887,5.43533807441214,5.834882293377268,5.161018657583005,5.77249919621535,5.103568931557451,5.258777397047169,5.138067887382828,5.339838924039295
7,3.439349040083119,3.439349040083119,5.370738429570239,3.251988549873706,3.3593155732183164,3.2684795760282612,3.395599966774089,3.326499267996181,3.2789422042956717,3.297948506953319,3.2747977747200805
