"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1,190.350706717583,188.618451057663,188.359336292568,181.514004965313,171.738275128114,186.1565616688,168.908621805881,181.655866480009,167.487242884004,150.755515566656
2,220.974708402309,222.865789033897,219.51265247193,210.479942255032,199.204640717748,217.034862015159,196.200424690059,212.729533782667,195.88022438488,157.168693230566
3,206.980867567883,203.603426477265,203.687860653087,197.1780692217,187.15672533018,201.569007626472,184.26306377582,197.542910114811,183.055658735353,154.441937550304
4,217.76591357012,213.607895145477,216.155529266698,210.489870658008,200.486921580373,214.139861336584,197.409093788591,209.745236658501,195.65501069582,158.236908361147
5,208.832340159522,205.595367695702,206.54449447313,200.069868775338,189.153015864785,204.677061260973,185.628182670025,199.25152610349,183.568233611645,154.519957387716
