"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1,180.086890390527,189.875805304048,185.162587288049,176.93583626218,168.925796503561,183.348925819523,166.141920798746,148.270250808047,166.138364337698,91.9019666388216
2,211.096388204982,222.383199934346,216.010153106845,206.472669114306,198.009032266233,213.809630307088,195.044353863177,171.45975362256,195.990291924711,90.3831513039309
3,195.522643342179,204.152900904879,199.662332132056,191.62479125331,184.146584516208,197.769028366347,181.304475006484,159.9108470309,181.802314041509,89.637258114677
4,204.886490676491,216.539305116969,212.483173642289,204.001705769101,194.81570483439,210.561002311284,191.728794382164,170.602437291174,192.020064383233,84.8621675388766
5,196.946348308535,207.305037589535,203.524850239082,195.28323863304,185.717973762944,201.944931879546,182.204820144727,161.347922707303,181.657146974396,89.3694984398878
