"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1,2737.13552119863,2696.42642469713,2806.77505474495,2709.71107179916,2680.11065765909,2700.8798613683,2630.32016181583,2434.84655225919,2442.88857937862,2047.51550686587
2,2627.4064541027,2595.9132545777,2706.26997478921,2598.65508709667,2574.82697578845,2592.68242841049,2535.76904703009,2399.96739261509,2405.73802787508,2032.81511629579
3,2612.59485681596,2592.07304637193,2696.60342487245,2584.99396840248,2554.94596037574,2581.11488397643,2510.17065881162,2347.18465064301,2356.47877676003,2051.96384824624
4,2560.2672425884,2537.4345093536,2633.23684021142,2520.23195501651,2496.11023351397,2518.01200474199,2456.50669840181,2314.53370873462,2330.41466634695,2081.96359330381
5,2586.49598668306,2562.97862371003,2663.00139026649,2556.67376335622,2532.40741585304,2552.55022932575,2492.31849486793,2346.10996778527,2353.7423365549,2040.03388801389
