,t,Base_vs,BottomUp_vs,JPP_vs,OLS_vs,OLS_vsv,WLS_vs,WLS_vsv,MinTSam_vs,MinTSam_vsv,MinTShr_vs,MinTShr_vsv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,2575.55579531599,2511.48544871238,2600.97103106512,2490.92576291927,2463.71666438728,2492.76031347352,2422.53430720961,2274.85819982716,2256.3418007447,2310.13284213164,2280.95121944533,1897.014657308214,2218.297791034035
1,2,2668.29104640217,2623.68721689907,2690.90626308644,2574.86504833286,2555.64816659113,2577.61620671869,2515.79583622331,2390.61864142832,2365.94197354701,2410.25482157131,2386.15745151086,1827.505830764777,2275.3821176829533
2,3,2798.54810072431,2777.70952846799,2834.2200755148,2725.43097205092,2704.18024454753,2730.31335187216,2669.01641945181,2550.73059068908,2529.82550090754,2574.1707096966,2550.60909883431,1884.7407971286002,2258.2731076007026
3,4,2719.98554968112,2638.33425405742,2738.75218894385,2631.43257702066,2605.72630460623,2629.62637598199,2562.6818918511,2391.57181376685,2374.66982704555,2434.27364610631,2401.41057687945,1873.1146546506973,2337.6103677275833
4,5,2699.52394515344,2625.89258398658,2722.38731676664,2624.82458145071,2601.3890165567,2612.88648498471,2550.55569313541,2394.68713364411,2366.11886688392,2411.53762188442,2393.24798721075,1869.2336855210938,2248.961861682856
