,t,Base_vs,BottomUp_vs,JPP_vs,OLS_vs,OLS_vsv,WLS_vs,WLS_vsv,MinTSam_vs,MinTSam_vsv,MinTShr_vs,MinTShr_vsv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,2675.77059334567,2608.32999556546,2701.64736888293,2619.26329684696,2595.73020430581,2601.93996771149,2542.72130436606,2723.17454205731,2347.00100443461,2461.2376273251,2380.54737291862,1852.7966112871045,2217.3592593207063
1,2,2641.81713624129,2702.43094309896,2720.72445570759,2595.53574704045,2567.09711441364,2607.33505905564,2533.11798710892,2761.21436772684,2429.57735833154,2497.68509681053,2442.67198625314,1909.7146884485928,2244.476866341376
2,3,2683.6178650938,2740.2816636258,2759.82939784804,2641.57652853065,2609.51779265169,2651.54305529851,2568.79695635797,2760.84242366172,2426.03945547087,2499.60784015366,2445.98659145557,1857.3020698881007,2240.3268663794674
3,4,2737.02618209256,2745.00846080041,2797.23839801128,2693.48059963879,2663.13528487439,2696.69013016265,2622.65460224538,2695.77796165684,2456.45440449639,2504.96205657714,2482.58145262395,1932.177780858893,2190.035538565298
4,5,2646.43877898849,2626.08483838002,2694.65697931707,2584.87218612523,2556.6699990404,2586.41971140155,2514.71777425665,2513.08558557522,2348.07261773897,2360.39772091469,2371.8522071265,1810.912753750166,2218.638453625738
