"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","EnergyScore_Optcv"
1,6635.91676121725,8959.09472054726,15621.9884120102,6451.59403974335,6635.91676121725,7854.67082956561,6635.91676121725,6635.91676121725
2,1758.7161608972,879.295787484371,4569.23241324189,1525.89851223239,1538.06919816088,1020.84502775163,1167.63130368881,3399.66815532993
3,2279.57168470731,2805.6761917194,4132.83075806909,2175.98221666344,2154.81824961639,2561.80646710182,2201.90165737093,2688.49285093415
4,776.749872229519,510.331607810058,2868.50056123005,736.474172651813,792.332330276091,427.567157568495,710.15398177311,394.021269252145
5,476.693004245145,732.691079233462,1164.23146923858,683.92695955426,764.5371618792,585.935072216984,799.06846192363,430.262807709051
6,2455.88338072771,2911.16605192928,3236.92849098593,2176.17782275143,2074.34091966133,2885.13238008057,2603.61650060369,2246.50189603615
7,322.171018122698,464.245967430703,719.15535885698,493.341969287258,572.416687599417,347.059084752421,375.792972101088,206.770255287515
8,238.365356149277,58.7650492846586,467.823808739653,451.013097917922,530.026759436969,146.409779847776,394.659308470871,101.880313718628
9,396.22265588328,270.123888048322,1180.50166822436,349.099912604305,351.502622885023,250.028593511394,278.276583270404,2763.35205908245
10,611.081053287848,926.379076833954,1770.32290035028,777.571740591645,773.329242836217,796.323259520893,775.305945238344,1560.32170589642
11,376.314242691933,366.983268673684,996.594958888016,399.147864544382,397.938844365309,324.529144757831,321.789810582629,729.602378349378
12,140.965764873077,149.138766910713,335.024058518524,237.303775633539,247.678322087221,145.270449930746,248.04153246254,63.7407046983488
13,180.023809745516,355.3922733796,393.850320145977,252.718282796797,264.239921830997,198.859236821434,293.714502365119,146.331589337263
14,48.7063688898844,54.7518978814998,149.622855580152,158.07468225583,164.11475712639,45.0691614874809,69.9609445089654,30.7816429468687
15,1520.31836828722,1600.33323726125,2075.08908291575,1535.90503504419,1518.68597298767,1693.47774200228,1595.03979310114,1495.02190978781
16,235.634205409686,284.436637934976,608.355186800131,245.999267760004,246.667997485759,239.743769531815,238.669291775369,357.794166563814
17,444.634027441847,433.639810056836,846.406989476089,404.559619086355,406.228458585061,427.235777153563,409.039322196909,627.748209720523
18,236.256751665215,139.722164938224,516.689565740579,304.781987441682,316.110249567178,220.195918233706,377.408886153216,292.882056957119
19,116.665554445171,48.7760459343886,397.54939634559,246.085808478798,258.062641817213,183.853721340512,462.555626414189,85.0124898935062
20,633.135120945381,679.376692734959,1567.93250579152,560.324870307282,560.448465389892,581.019220348568,574.524104107931,247.791569526169
21,175.671175224456,94.6360570730919,503.493920270151,252.898019889112,266.142579636797,144.6537135884,249.510236144691,149.565907296659
22,238.564296380589,123.55746406351,657.108674663234,235.908049126594,246.242918284838,138.64796217622,199.110523516233,101.481538207822
