"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv"
46,34.1822459000635,34.1822459000635,62.7442852524886,36.034246079008,35.8711031824875,35.0156541067979,34.7144314980126
47,32.9553561679043,32.9553561679043,50.5590919692021,35.1965233830363,35.4399108160785,32.1631837929787,32.9167476100604
48,201.494724849713,201.494724849713,211.019968413144,168.608946002734,169.120018231716,181.287589463794,181.109148723314
49,57.7910931736228,57.7910931736228,102.777112580238,83.9615240060482,84.7598404265106,73.8494083878328,73.322728778263
50,279.412247547574,279.412247547574,341.744314991411,262.386825074725,263.090115049918,269.000644520041,270.340501153429
51,66.3930986409762,66.3930986409762,104.835344792383,49.0200750925327,49.371311250592,53.5017338656854,54.5112660881414
52,26.3501082483476,26.3501082483476,58.3411969434408,41.5320295414977,41.3167699335643,38.1056622235244,37.5620332522943
53,60.5262759144311,60.5262759144311,109.353320554326,41.073480103485,40.737755074522,40.3764989167289,39.8117985574703
54,28.9130441605295,28.9130441605295,54.8057524159165,34.7418292895159,35.1701925344851,31.1091846219892,31.8987118963716
55,61.9454036119496,61.9454036119496,90.3548887456157,52.6957415870576,52.4026684984961,58.4422249224653,57.5590972087271
56,29.2426324733186,29.2426324733186,59.8424706269902,25.5313153071375,25.5023215795864,26.4970939577005,26.5724972873716
57,23.6345565966664,23.6345565966664,38.3685633518609,20.4266653742038,20.3340591562536,22.1812315570728,21.8098950253393
58,11.602350922112,11.602350922112,14.7454939058165,11.2420984951819,11.1455032490872,11.076028256293,11.229097072147
59,23.0064734167255,23.0064734167255,47.3996437351586,21.9935233640366,22.1512974991678,21.4195678626268,22.2420642521488
60,44.4129530164142,44.4129530164142,60.3182448787903,46.020476391636,46.2707462620019,45.2531954330821,43.9049571078242
61,6.87064193798191,6.87064193798191,8.18442722126701,9.3481123816572,9.37839673375394,7.50611510956777,8.28404219501005
62,6.33184665906194,6.33184665906194,11.3527244719691,8.28240472487795,8.34215550902346,6.58273926392585,7.69497917695282
63,11.6682993649998,11.6682993649998,25.4417123464635,16.8417065867355,16.6182681670853,15.5621835537894,14.1982399231578
64,31.8559340155296,31.8559340155296,46.2481969778007,26.1507414610374,26.3072652532683,27.9390121073703,28.4239984685799
65,9.89575588972944,9.89575588972944,15.106842496302,13.5649103009406,13.4770761382972,12.3238390411762,12.3942420990014
66,16.5639477145148,16.5639477145148,29.080674866084,18.4161022606132,18.2708324378696,17.6820741124356,17.4008930213806
67,22.4610348517162,22.4610348517162,26.5530031748754,14.5555011450606,14.7684843770659,16.5608402374524,16.9652668076067
68,60.8292675863985,60.8292675863985,63.8978392463574,46.6450292368678,46.9613059893244,51.9470625248718,49.78648265905
69,7.88679820497187,7.88679820497187,7.19806647968657,10.3007353610594,10.2662753281546,9.21492269912636,9.71715998855812
70,81.6368526988697,81.6368526988697,97.2764472682103,72.2750302496691,72.4942786543549,75.6116788125257,74.4724157555896
71,71.4003187109999,71.4003187109999,183.550455848555,70.8343770980441,70.694378170437,67.1767261860988,66.7010264364134
72,211.245582584844,211.245582584844,348.719586008845,228.477112826878,229.20075196975,240.214630241493,241.288758089071
73,48.2255601024116,48.2255601024116,123.21164399502,59.0887972614432,59.2989259507522,57.5765700729092,57.8273462047024
74,44.0282002661045,44.0282002661045,56.8558770552598,27.5345375821066,27.6708635443533,33.4828602593355,34.2423212668915
75,12.10819316365,12.10819316365,37.6593616379159,36.519523641716,36.2782276117469,24.0921614066781,23.9772855767068
76,19.0011052305328,19.0011052305328,26.8569112506786,21.4701193075004,21.2280123857932,16.4021957309186,16.7847660463828
77,78.2176084826728,78.2176084826728,100.967763528012,47.5810438289473,47.7962892342185,63.3742839891199,63.6139299212221
78,18.9864046917695,18.9864046917695,34.9195568130337,39.7974093528445,39.4288230629235,24.7968540721854,24.0653828392101
79,65.2171172239346,65.2171172239346,96.9328553589307,41.8179547357279,42.0704460291722,56.535545300457,57.2961030639631
80,199.68032720281,199.68032720281,301.063491252041,177.684944163618,178.295261515207,200.762803370807,201.578778092597
81,169.360850039793,169.360850039793,198.263104804051,90.0366931690173,90.8157018238173,153.911003400344,153.708936838092
82,19.0172500679566,19.0172500679566,28.040696118559,41.7411521972012,41.1094590153815,17.7124858364768,18.1501951088969
83,99.4232947620098,99.4232947620098,175.173545916451,103.39290975464,104.015174328001,98.8008741604575,99.7288222597311
84,5.82176447056264,5.82176447056264,4.46038104536734,14.39618104521,14.6547092742562,10.4654033295131,11.2789247714102
85,7.1899729786992,7.1899729786992,13.3365167234929,13.511116100898,13.4490177136911,11.4921919643727,11.4446994407768
86,66.7006018035581,66.7006018035581,103.081183631871,74.311743633324,74.6094252662469,70.4395035967886,70.0200455603962
87,27.7352656437412,27.7352656437412,58.194368471244,27.3487323066575,27.8224977862869,24.9014289871098,25.7828974172518
88,12.4546361004929,12.4546361004929,20.5775057803987,19.6412912950261,20.1264154344893,15.0459571494732,15.6225735058062
89,59.8287025502255,59.8287025502255,77.3627926221036,60.290387229528,60.3810363401696,59.8404026114634,58.2880993524961
90,12.1720517360607,12.1720517360607,11.5354815646399,12.4208249021598,12.562102586194,11.4371568428498,11.5699964498534
91,4.41375558405263,4.41375558405263,9.64692570898373,8.94101463299958,9.33102765828326,5.56081136652466,7.40957452311343
92,62.5401690552786,62.5401690552786,93.8518872645602,67.3158013849351,67.559997016704,64.3447787733642,64.0147360739885
93,42.2150360476059,42.2150360476059,66.8322886216887,51.1977129594577,51.5143451447128,44.8646531769641,45.1193520909147
94,25.6890701487285,25.6890701487285,40.9522105017305,20.2454703298744,20.3219237954409,23.4219812931384,23.0018264176634
95,96.9210471577168,96.9210471577168,137.040294157967,85.8525093632958,86.6357632191259,87.319558946297,88.2448145816137
96,98.2235890116624,98.2235890116624,169.049242757355,90.949762083913,91.8205618694818,90.5226276526668,91.9923509121072
97,84.6011939897149,84.6011939897149,150.031382643126,77.3550800248423,77.9462449947393,77.0692563016951,77.6673068981329
98,508.650650993786,508.650650993786,619.97580409241,537.52025386674,537.932641960386,544.862096728075,546.103680030123
99,45.0150766070022,45.0150766070022,72.6453700735995,46.6697991245019,48.3197775224619,46.413946801226,46.4720979671512
100,34.6907184311859,34.6907184311859,75.5727777621725,30.8675383837739,32.7348382441629,25.4610020622518,26.6328544295645
