"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,537.960522659379,446.464994824098,3044.46948348469,510.29669624202,537.960522659379,400.298201728189,537.960522659379,396.90547691505,537.960522659379,537.960522659379
2,572.510908843535,344.551541503394,1014.33621640385,572.087877880567,581.236598563835,443.872711091862,522.824353659764,440.028391819239,558.328135572896,521.557037543412
3,235.839382992174,413.528955343862,603.984837639081,216.350910474965,209.856534862108,280.332522650504,189.521846099274,302.621914265478,240.348953138662,202.494161457284
4,729.286477004757,781.570059714031,1350.45350485748,824.529059916071,834.012858007621,852.52994058308,930.505989662547,921.708981349341,1058.19843053084,1191.9144620263
5,106.663822212662,49.1038503922548,227.416419409272,127.475451169082,134.790569287764,80.7082431781075,132.819468868199,74.0600020384131,89.1003815354107,220.615196473333
6,1167.47380656035,1373.23851233642,1460.3437460734,1178.42531150243,1169.28421681855,1268.65356600673,1234.45156212919,1238.37030520044,1198.57699628326,1391.37159909425
7,210.217306962098,197.686167527368,309.284379252143,253.433136110849,261.110322444907,223.175816582596,255.881035064737,230.039129932545,244.333149963782,322.967052813608
8,213.609116269821,227.12216803316,301.027318857478,181.082385288755,173.531622262405,208.043234766708,164.695920122618,212.125277242715,204.576735696991,296.253221579698
9,278.102399820957,319.3234341075,462.127759763626,334.345222255564,335.917107259424,315.384087848468,327.383721399175,312.950363916421,347.218042507787,432.972923659932
10,373.559236657693,421.260618187674,522.889305642756,344.21400442059,342.421071588932,380.541903372819,367.242494187406,368.194037395839,330.290613290781,495.826851817854
11,297.933681322053,297.933681664291,400.213620674481,334.60211283734,335.995942665937,307.544093685371,314.545228494306,307.525508335747,321.486700336066,44.9200388284276
12,40.7638583676064,47.2340393950437,115.648953710215,61.9174302134794,63.078398951896,55.4950665111233,70.094004595931,49.6677391920638,59.5438974444923,125.565324258158
13,211.546766111028,181.874928030298,330.498521318319,260.437836734457,262.519384959446,231.895521576162,258.42500583798,227.173286855971,250.597303668124,490.94301212747
14,31.9315019839023,31.9315020017984,73.5651310684352,25.7778547959154,25.727468820452,29.2825253596905,27.9382171542937,27.7632617887984,26.9867719892816,120.66422458864
15,428.60232858304,468.305596320298,573.388105568403,407.892271120789,405.717212534143,433.683286577768,412.99251834908,412.788453429596,374.36602825186,375.251799873532
16,140.915639657062,140.915639514723,197.723576703453,160.462826094314,161.724712298133,145.689175175355,152.064080671034,142.884781479097,154.123358927004,11.814003160387
17,80.1079311837236,61.9873637980843,123.476308056385,55.9143808166618,54.7716549816349,61.2628652074022,50.0507235697494,62.1511357332314,56.1589676556106,135.710016899668
18,85.4090570754066,134.049887267788,138.517429455957,67.1348754329178,65.6794508851205,84.8153253827505,59.0642382158302,96.8668965013391,89.8098892744537,14.6466333363337
19,97.4284957602653,64.9329893966452,170.334055163775,123.695675280785,125.861908358591,110.687040559321,157.213727615507,87.4483265609853,98.9942742654773,264.716500344847
20,726.728925150522,489.255980844613,836.333653543863,642.86838744503,645.518750903073,601.242215371567,621.71023026055,623.474852193067,690.797438393245,793.012856126146
21,188.218399437179,190.136832508067,306.029120142436,169.495156119307,171.595729208416,183.886900100949,206.609598950182,200.222462080451,221.837503352905,233.408938607563
