"series","Basec","EnergyScore_Optcv_1"
1,529.078334320022,529.078334320022
2,568.550090137098,526.209950046597
3,241.74525130482,257.148190911102
4,716.65749786339,1261.23423198115
5,102.042940901219,220.034672494093
6,1173.6106081334,1429.67815789748
7,212.228135937529,365.190080092673
8,220.215741424064,276.108042890824
9,280.870694411914,449.855528815716
10,376.997462630954,535.597154454522
11,291.009769033183,46.4834123045589
12,42.9458772196423,85.9146656826393
13,204.627553174683,432.120728540492
14,37.1597282663292,74.0153060805035
15,439.974912156762,441.948589658322
16,143.221839751501,69.8638498326335
17,86.8079763273597,126.070089872444
18,88.2478905559621,18.4185301944926
19,93.8534209242462,198.231119615049
20,725.063699356632,869.360007717347
21,182.57070934791,253.137413562262
22,107.46359408806,75.9974694920973
23,159.640436738585,283.344008466941
24,44.1736254343657,136.940839487863
25,99.3518264407978,76.3426836663487
26,65.6611540321773,147.571157303606
27,37.0464291998452,33.6624164240276
28,1275.21100361567,1177.95439474016
29,46.0116200689503,152.541370716496
30,29.9834607761867,94.2633214246068
31,27.5827624944276,25.0650636389582
32,115.658239383343,196.682448599718
33,106.052899743377,142.771591189562
34,147.249275592265,176.958384914585
35,57.6912527303474,98.2590564098344
36,184.943153681646,370.43438959016
37,125.475694886746,179.91645583441
38,145.343398039211,337.801273479872
39,676.658511200391,893.814524582437
40,301.523872916456,46.4834123045589
41,19.4652393151915,9.57844591770715
42,70.973446108951,40.8285733108747
43,99.2496490679856,105.308155648772
44,19.6012236744254,51.0149923350003
45,90.5000188842079,208.8806452997
46,158.340341044253,227.166918532495
47,35.2798014459032,2.97006149910752
48,10.676797191618,1.86984410435737
49,36.6666810231377,74.0153060805035
50,222.891481877934,101.45941394512
51,190.780729463307,492.203837016741
52,19.8913931817884,96.1409091788136
53,131.553443743674,69.8638498326335
54,61.6644879958769,48.572066891665
55,39.9034067161414,93.7538066139673
56,50.203497348126,183.38388269886
57,13.7719228159217,13.3387414889666
58,31.8787935674457,83.5445209758655
59,225.673717518972,226.305817285024
60,33.547014051342,6.78505121617257
61,64.1032088699031,81.3468015230961
62,5.45682388405872,2.79929691487053
63,5.7802966452937,1.31476009024543
64,14.3240881552786,48.986561433447
65,18.5244414636609,45.4623797762493
66,18.9769440781838,25.3756143148598
67,23.7778735241029,25.1042262105111
68,44.2738250587356,49.5581393557497
69,58.4195908651662,117.270900542905
70,14.5770740886594,2.33720424126117
71,116.574585441634,361.892595560664
72,250.441031313512,609.938144622443
73,76.217107128658,73.7920038731385
74,149.907424682338,326.45644655581
75,18.0954248251606,61.774480863106
76,22.1409213911889,89.025907670813
77,46.9491016596687,97.5093255240236
78,21.6830384255151,52.0789822648217
79,44.4960673395952,51.593957384368
80,58.5509816261278,11.3511024385204
81,88.6445878687139,241.785818921751
82,61.0634681999947,41.1947782606794
83,40.4688317911451,142.550317299407
84,16.7464409757675,15.7329449226273
85,5.94990069813138,17.402833315334
86,33.0565544031326,59.8364465263018
87,140.867057908,128.822964455184
88,17.5801893956622,16.0381013688627
89,45.088620407276,53.7018144316236
90,21.25785468991,23.5178430917857
91,10.8606247847172,6.76267323961714
92,30.2831900926506,176.129972233426
93,38.8156622987014,70.9169464456901
94,8.74478048471095,29.0148487753153
95,165.579052998843,91.4669009291996
96,311.411883740355,252.34128526083
97,808.525154566027,831.739404189842
98,47.2393782936019,152.541370716496
99,27.6819876813417,94.2633214246068
100,26.5014109630209,25.0650636389582
101,8.61085997564917,14.1516946248956
102,107.146865278167,182.472698024143
103,65.0465767722426,99.0015329940016
104,10.9172178911268,43.5977047577462
105,70.6039607600565,28.8912225557425
106,52.0713006145569,97.0731555708958
107,17.9682232060307,50.8631683951764
108,33.6978192987082,58.4799721540304
109,6.5944451998809,13.9649367290205
110,12.6340771410583,23.0256210938621
111,34.9754823958946,56.9922435283863
1,1463.24343369927,1463.24343369927
2,161.153114543489,272.7687813263
3,122.228926914881,60.9906374223687
4,824.195056014489,905.873676304308
5,336.993403343574,394.82266878059
6,211.723404753814,23.958301637802
7,194.141978107337,499.360321036906
8,190.956568650762,158.055254876206
9,72.4920318358566,263.477137062497
10,154.229045791621,79.9111616337687
11,55.2535739579458,27.9644893853779
12,85.8300632364353,13.5331257486105
13,48.4162069480339,96.2165450240095
14,107.841118652516,161.116816016217
15,76.5377076573915,201.875518845367
16,28.5491461498961,16.2355656669492
17,42.029833275395,119.720039530443
18,49.449922717147,24.9393020292503
19,105.853951886645,41.47860067322
20,639.771347907146,689.393658646694
21,117.596836852815,101.364067559966
22,279.80673919384,117.564818241622
23,43.7210361747134,7.50769872260541
24,269.837740036526,282.541008641367
25,23.703702839764,29.4125298997278
26,23.3549155982684,5.91128841006765
27,79.7988150292451,98.2729966571233
28,149.581494928587,113.947409884337
29,357.153956486292,114.109673112838
30,28.557421275145,10.9932283934362
31,199.456292482339,312.0510202947
32,26.1166465200496,86.5513949430467
33,30.1563946563074,100.08451839712
34,229.006159098809,215.857149878742
35,34.2264617450857,28.751330523308
36,58.9915128671861,256.083336603665
37,31.0338494065795,53.418014624268
38,42.8007111887142,33.842390063861
39,175.250418375832,46.221598955036
40,47.8229005241925,27.9644893853779
