"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","EnergyScore_Optcv"
1,5001.3605121067,8160.68425086317,17173.4886308649,4312.73811337203,5001.3605121067,5762.69716199782,5001.3605121067,5001.3605121067
2,4567.78680429961,2822.18438954133,3079.90580591326,2704.01664578088,2551.48765178956,3453.6654548109,2056.82981276221,142436.615036241
3,3682.20145901407,5013.02608986897,4838.59803051737,2409.52943912394,2410.09817964321,3696.1816797474,2652.44806566383,28341.6529588864
4,3948.12248637916,2487.7594743883,3554.66539864902,2746.82432373052,2669.66962399011,3388.02429438753,2214.22997292729,39044.1870728553
5,9685.77072133221,3688.05995376231,5047.95782107071,5107.96869144016,4970.75288008357,2499.49086902703,2430.57342469433,27363.2442310261
6,7169.02175882999,2787.8781472878,3328.12466944019,3607.78703488431,3438.55022560344,2320.91911579203,1837.30542042082,23316.0651071093
7,7480.21436535029,9511.55978925949,9561.2922552172,9218.89476650653,9207.10373240892,9866.29091389433,9890.39834232198,24651.4251441507
8,1961.50210705181,775.919244854502,1660.87349070377,1837.5808576319,1693.69870856297,1753.3000702527,1200.85581841816,161518.31298938
9,691.71762900751,1951.78378586923,809.902534994414,592.832804409507,610.966210180345,794.615017920286,720.051510978246,10578.2061366452
10,483.399587822537,958.141659591281,663.252697866536,562.473773266678,597.983711186436,674.470838317415,534.809388139288,13388.1431528198
11,2719.45699040594,4645.78938128532,3043.57314087091,2092.72075254886,1968.22239036383,3318.44835523376,2509.9889015051,16455.3517258029
12,5004.74218293548,4130.07857491177,3950.14914697012,4029.43276858707,3822.13744683748,4888.81334254068,4450.86793508771,7920.59348256504
13,2712.36688364295,3521.3327794952,3409.60995784437,4356.37964262902,4462.78739791862,4177.68462395274,4423.01858832586,4573.8660219412
14,2256.09292816422,1280.22630003726,1552.28376369208,1433.4151325463,1391.09532481796,1572.02771716998,1098.93323095686,19371.5195665195
15,1451.86007311894,430.490413479866,1079.6089617243,1136.2906189661,1129.16422797345,945.88237172088,832.715212717876,10453.5350715946
16,1650.74199564311,594.332921805755,1184.82189854096,1060.03044199272,1066.91932624323,941.379277975439,814.22578021108,9294.83391071785
17,1048.38397298245,2280.38229107303,2548.98947375655,2224.72048784935,2179.68485959542,1656.36817979407,1606.40561350607,17308.9406888946
18,319.063366692487,577.498364640244,531.043828553499,1528.15645188302,1467.75728914647,460.596585836598,390.651086348332,3330.0553292946
19,1267.64760863311,2447.8179690265,2103.54342462954,1654.98056002511,1640.22999711606,1059.54490996189,1101.10951987253,6844.44248916205
20,1384.67812641875,2479.82174700911,1768.03276682713,1674.29900156954,1598.67553541317,1313.57418300819,1166.83787344167,6881.70077591791
21,481.482639456077,837.449272566405,1007.03023741287,1168.40956146742,1104.6953145621,858.275895120418,682.549465445636,7315.7577148303
22,321.729737893817,308.258627794075,610.798040814398,1012.47525513569,1007.34272110994,595.453799049641,617.936272331479,9190.49929009731
23,879.939128567578,961.619436214019,979.248341653592,718.227165885561,748.927939621783,1100.36047479556,675.221197540808,10392.5370081237
24,4759.19435815109,4705.86655608924,4840.73001742758,4427.53718845187,4401.29944468637,4641.81170831614,4667.07496109298,8912.19847979348
25,7338.46845528464,7340.88790254158,7289.34173082259,6961.69392733376,6929.21450567709,7242.50010115887,7236.07452566005,6245.4807504638
26,2373.35388685137,775.537521096339,1657.71504332391,2043.5906714826,1959.17642962686,1636.0397639059,1261.04767199516,168990.989516766
27,7.13874795715084,3.22633381343566,245.466587139387,532.451735166678,577.194313071808,207.860072146788,332.592040549364,7487.94009154204
28,518.337369075411,1951.78378586923,809.902534994414,592.832804409507,610.966210180345,794.615017920286,720.051510978246,10578.2061366452
29,591.684600706759,958.141659591281,663.252697866536,562.473773266678,597.983711186436,674.470838317415,534.809388139288,13388.1431528198
30,3217.75396686353,5371.45429806457,3939.5530093439,3405.38054617595,3266.21434710935,4474.6202466201,4073.54349946172,9201.70200551347
31,686.529365269398,1002.71740399574,896.004915776664,912.168916403474,979.79832820351,858.484142605517,1150.21863253564,8034.62485369974
32,3695.77079736712,4130.07857491177,3950.14914697012,4029.43276858707,3822.13744683748,4888.81334254068,4450.86793508771,7920.59348256504
33,4313.1919167599,3521.3327794952,3409.60995784437,4356.37964262902,4462.78739791862,4177.68462395274,4423.01858832586,4573.8660219412
34,1749.7087581497,1345.27872852222,1557.89597371147,1491.97294144252,1412.26482361681,1715.70394966554,1202.48921900207,11445.3431141885
