"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","EnergyScore_Optcv"
1,7814.0059994091,2118.02524478692,16191.5274693505,7335.77154831433,7814.0059994091,5810.59776999036,7814.0059994091,7814.0059994091
2,1617.61981753726,853.435094265537,4963.1527229782,1708.7985067731,1771.98792426148,1341.78426097104,1821.16316008965,4612.66113421634
3,2419.43979953935,1952.04095189344,4664.08841498337,2715.4935062759,2773.77844243396,2816.98930706343,3262.20933449136,2739.70424388821
4,716.715798405766,1112.12803086834,3321.2875547303,670.953070520656,733.155285668611,509.113162645119,654.071906188217,710.478010481439
5,387.654833273253,147.871385261154,1015.20226701895,757.710009919516,859.556995155738,345.557264591633,880.290066501131,446.852640455333
6,2185.16789647769,1492.46858906322,2603.09389313993,2174.05847922814,2163.4272480098,2095.73309071811,2155.04042090126,1878.69698512657
7,202.121855382118,128.717719104014,667.016105080584,487.122590456253,580.597616038326,120.434078425244,323.586667926199,260.253714231424
8,224.671361548392,457.603038998597,577.500757589332,421.295875956149,503.877617051363,202.674644386783,377.738553632307,62.3641390225653
9,324.436710626897,292.944576497888,993.966606234496,343.893986146916,350.929620069302,259.339607632931,332.597836313711,3564.10573580456
10,1130.31541432224,819.818928590898,2027.65436508668,1141.03264319721,1153.6217849476,1089.85033773688,1171.49102197998,1529.3394988655
11,437.513277113094,448.50212564896,1157.36517073853,456.895440862307,465.235412540134,414.552825004866,442.363991061549,875.767692855022
12,130.901850861761,198.395548811787,479.019363384903,247.562503490896,259.159405127059,153.492060379374,244.708807950602,54.4372465542291
13,254.1476335646,423.715868086946,589.884565698288,312.270051896983,314.011355184579,280.360532358915,283.842022565865,259.996244503596
14,64.2839067907279,81.5580063089427,178.868166706752,154.996585162493,160.233706237086,54.7423924068483,72.093758820618,43.3773965813809
15,1616.56376186056,1410.11589739001,2387.03509616203,1765.34382325023,1779.95928468799,1747.7227101388,1869.22512961328,1336.29371616107
16,197.783822695699,177.991537475255,543.153715099154,224.535466979578,232.774442727073,162.360227891304,193.446439648998,431.331462827513
17,445.002614577893,361.979903574586,934.387641262586,478.61278784849,492.593176678381,460.595181523562,561.961604136228,721.222141129539
18,298.754428703047,139.368126584656,640.37474836542,413.586474026499,430.502078061418,321.749277601659,564.101158665218,317.28251574767
19,103.992549172659,173.195024931914,371.416754804814,264.835647565904,274.891026903046,193.815933829105,504.033237954103,57.9612475275232
20,606.368687594545,320.206140460765,1746.99384218585,458.430554780237,469.609549615648,326.17430039972,383.450706546579,173.430474308496
21,261.060478026766,439.747906076192,561.190512391725,259.549058683981,268.034018326172,221.124061923412,247.311134399757,271.410991787071
22,308.354941055854,363.937139882512,760.772981902596,253.211513843045,259.040340566447,234.997070534076,217.957023793678,233.466371151043
23,229.891804728611,338.114232669374,424.921347226765,196.017070643784,202.386478308965,213.385527517433,163.87095861678,352.240285662355
24,106.446583051106,124.968354516231,314.999479452472,189.919527754038,217.225080651337,84.1871868471938,211.864905784066,53.8193684720963
25,230.878691851289,209.187542675202,471.81695307135,355.215685017072,371.945967114905,314.785906258897,387.196175373769,425.323632186237
26,95.1286164873342,131.612809277122,160.566886922767,148.98182826171,177.036368764775,65.9166591613537,213.803447799434,31.0410216498361
27,62.6367769255072,53.6376176287633,178.802130548016,165.937945963892,187.815278813923,65.492043271842,148.339781437693,101.332753056492
28,1588.23882068992,1438.64816703576,2248.27594742153,1957.10590272067,1942.14935867969,1902.5058437363,1965.41859053594,1810.09793576046
29,143.442112241291,155.406431387419,442.622448160947,225.888273162556,245.472181432105,124.978259873802,145.802471741011,46.914273102162
30,50.0204099805025,52.5771383298593,151.125573127069,215.630937491116,241.176484069603,75.2565574114712,114.756115639292,109.481591613666
31,108.430848574609,118.921799090686,312.116800044927,166.863664791132,190.227956151553,89.8269335172708,117.602581017246,185.256195240787
32,72.9011088667267,58.6819284883092,215.675637774756,173.465105293522,205.487265990851,57.606052641186,120.137201612047,49.3040724340349
33,43.4370642651752,51.2515065186159,142.327055036831,182.043365094317,216.059837965026,47.4990899408313,127.689430640166,42.8484830282396
34,185.40723917234,292.744489748411,465.796148034663,222.794297027965,258.174293187015,169.661610385605,181.300845713923,33.2917532924354
35,78.4838842874183,133.438337820668,106.967114667231,218.966670740265,261.855288466883,71.5857081302265,224.35314713404,36.7379545040182
36,253.432944439623,253.432944439623,685.090422770906,263.73184753152,268.960065662915,238.410928066946,267.579264593333,3510.92045038547
37,104.025639477082,104.025639477082,294.312441967467,163.133090112486,163.956458618195,123.250900993104,132.444978042863,90.8346471723363
38,137.089465772913,137.089465772913,361.751698708167,217.708973311856,216.238570312202,170.53659124137,170.964263142389,37.896973412071
39,909.829510251898,909.829510251898,1796.24259629713,1155.49412852434,1162.45712401957,1100.33458624667,1143.86388277999,1642.75674833547
40,448.50212564896,448.50212564896,1157.36517073853,456.895440862307,465.235412540134,414.552825004866,442.363991061549,875.767692855022
41,112.412182211225,112.412182211225,214.218177931917,89.17636241043,89.137542297605,87.9028928694176,85.0609125539572,33.8348772276318
42,57.7645411341727,57.7645411341727,160.812701719701,124.892832760348,128.641432000742,100.747167014367,137.983005215004,61.631731489827
43,88.3389288343684,88.3389288343684,171.173530099834,78.5290053456497,79.7862002439261,67.6241621794582,78.6870912433744,22.6380507269548
44,71.2540327868529,71.2540327868529,76.5855178629783,66.8712836835737,69.0717851916264,49.1384369019856,67.8431731035241,28.5214786677203
45,113.807733209386,113.807733209386,196.792284182629,93.8142633791791,92.8875372540257,92.7014120010865,86.0129207776983,118.332869357615
46,141.873730844877,141.873730844877,231.49545808118,120.455161555191,119.397919094898,117.242501003576,104.517777094314,116.708372331828
47,133.351746130533,133.351746130533,159.428751732011,95.2447167076912,95.2137690621805,92.664469492873,88.2804801490388,43.1408516248171
48,23.972178732682,23.972178732682,37.5784979238989,74.2362960766224,75.7436402921661,49.9641390040343,75.6474281744259,10.3840318921589
49,81.5580063089427,81.5580063089427,178.868166706752,154.996585162493,160.233706237086,54.7423924068483,72.093758820618,43.3773965813809
50,636.92793271902,636.92793271902,1062.19340059218,778.901909752307,784.455007024158,747.755101362689,797.174301901805,199.388820520807
51,470.942992790731,470.942992790731,936.488116959528,598.765695885545,603.672429705232,561.239614808651,601.748393388354,874.172686984886
52,146.447227617316,146.447227617316,386.160579631686,239.826786908483,245.241517073263,202.876123147764,239.689029529007,312.959113115742
53,177.991537475255,177.991537475255,543.153715099154,224.535466979578,232.774442727073,162.360227891304,193.446439648998,431.331462827513
54,139.681034145682,139.681034145682,323.951283583621,189.593172130749,193.317659044593,173.181988665107,203.796429992585,241.777410868334
55,73.3921046755075,73.3921046755075,210.654707213523,111.041192405141,114.751071238826,82.0610849635615,113.744690430229,90.0914788989076
56,175.212893068442,175.212893068442,407.434620315166,220.242347820962,225.123820810587,197.061222937603,237.838044440883,390.758009985234
57,55.6978067019791,55.6978067019791,162.908633909193,85.6798856830334,88.2659135113862,74.4232442702659,110.680262059434,77.4078406251438
58,44.1782851975565,44.1782851975565,56.5495921773011,49.6741998531705,50.7254601818545,34.4822429263675,59.673668330384,33.4660356877011
59,157.598775701369,157.598775701369,327.320712210825,204.98085288891,207.667290083558,194.032892700667,232.453673734396,305.157790423708
60,33.3888768043818,33.3888768043818,96.9891767599513,74.1627599069597,76.6647769870898,59.1412583177507,94.8658296301175,31.072295581672
61,44.5946601812025,44.5946601812025,32.7155248457381,48.6834138229872,50.4710239639303,30.5757341143298,58.0449674972353,23.1111646434355
62,9.93697555353895,9.93697555353895,41.0933535246834,60.0855034035638,63.0391920525385,39.6259264214032,79.5272341230161,15.3644464320239
63,15.7854440517263,15.7854440517263,12.3232573182161,36.8890038967207,38.7591430687024,28.0342314672408,67.4407315503973,7.44053582157349
64,42.4562489217501,42.4562489217501,89.4707068631075,46.5439588044324,47.6806764019253,42.0805156130794,69.7356079314559,11.4364648496146
65,33.7627075393112,33.7627075393112,40.9462632334291,40.9300859933515,41.832815392416,32.5365391547071,58.1784316231086,21.1992432980403
66,33.8339023587719,33.8339023587719,82.3708401259484,46.7448337520722,47.7254884934822,40.462453245545,73.6683426165729,17.7723045293396
67,22.3647845709747,22.3647845709747,14.6619798008307,35.8724707182551,37.2815453571184,27.4123035494816,63.5879486181964,7.13720822482515
68,20.8131144478153,20.8131144478153,70.9622926208583,52.2897404281168,53.875801260584,47.0596598069981,87.1734230019253,53.2554895337028
