series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Optcv
1,1.407766323426324,5.302414369161702,4.78237857569435,1.7369705528934642,1.407766323426324,2.719596151448168,1.407766323426324,3.1075884174085457,1.407766323426324,1.407766323426324
2,4.032853386298209,4.116244205691018,3.4537600968914957,2.645216085364466,1.9353155747152102,3.038194179516688,1.848513202183544,3.1090118336534163,1.7457455941253037,2.00206080352411
3,1.8018381255627758,2.534021231652962,1.805932141042414,1.49782510181511,2.102558492447402,1.3478266591063321,1.998621916253382,1.3986624715323,1.49775928987751,1.323237434635414
4,5.292905399589792,5.292905399589792,6.136529172080394,5.943372656879548,6.56629311066114,5.690671581524549,6.7002772074922206,6.938875014700576,7.462403117910664,6.680781584116583
5,9.566095336069537,9.566095336069537,11.004090392757501,9.79721468656693,9.138699449594794,9.98491010029052,8.97023566616671,7.6217045581085,7.785621289326004,6.324639129914924
6,3.867818980359086,3.867818980359086,5.65870276667723,5.5910322030423725,6.1779392555289165,5.038473365961658,6.002337440083141,5.253351057833276,5.133312360563692,4.863920852473294
7,5.2675979612732,5.2675979612732,5.0705285085585405,4.005901299179564,3.460095762156488,4.493041800206466,3.577587136632624,4.481241811524134,4.47333394110912,8.930772519406835
