"Base_vs","EnergyScore_Opt_vsv_1"
1281294262.29868,1423925117.51685
997621139.231683,915238382.48824
363898771.185983,435952573.727817
325408052.74588,412543088.9088
659691795.232999,558322916.171077
200982385.854218,257440712.892752
454066360.076577,405636683.968472
258705003.078462,123759979.9795
265619605.174163,255013795.946574
837130909.92567,609169017.922818
1045448014.52617,886605825.269798
307388331.015438,183060263.468328
