series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTSamc,MinTSamcv,MinTShrc,MinTShrcv,EnergyScore_Opt
1,1.303674530235778,5.705114255963824,15.239719221131718,1.856733934751772,1.303674530235778,2.834760574989592,1.303674530235778,1.879323568270602,1.303674530235778,1.516926999942912,1.303674530235778,1.3416625271586031
2,4.006871985883208,4.219704545082246,9.675313064781832,2.76262826166928,2.114900462614838,3.09192160695366,1.982286084165492,1.687334787165876,1.873332993386822,1.678244000148488,1.68997537697661,1.7066470924742945
3,1.8570236658134518,2.505665589883494,5.925732106276822,1.422973568476028,1.963394702949224,1.280543215595086,1.854834705619158,1.654933058756508,1.6948845071804761,1.411792624597342,1.434296256769974,1.2697493382962546
4,5.148252500715467,5.148252500715467,9.155442590612207,5.934605700019448,6.47908279805272,5.673404277742138,6.601441891964709,7.223271837057676,7.540847809922444,7.057938647009133,7.410756437769082,6.314038003658551
5,9.962185733756069,9.962185733756069,14.054646821989639,10.035352148364847,9.458196654324164,10.235024412348158,9.308853998399876,8.474647153696417,7.927204590637923,8.541068258275404,8.23251803606066,6.802437378585917
6,3.7064051673083815,3.7064051673083815,7.585927618712622,5.4382071650877055,5.96374814725944,4.8936797884133885,5.800833623041738,4.604755410099772,4.390190876846948,4.84793126039012,4.87995318878611,4.832437760324423
7,5.378070392893266,5.378070392893266,7.031719936291415,4.027908319634937,3.5211691111656345,4.510614627518464,3.63185493469974,4.621664185316606,4.4807109283122255,4.517413252911227,4.449764383004657,8.930894844639393
