"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
1,468.053071486496,524.092307196055,1090.41489203919,446.935427279718,430.541467413626,464.31240840788,424.144798849306,399.144978303708,397.671620424177,332.951497929143
2,446.615504693318,477.34423347248,1068.90506518724,430.973976312657,420.575137155057,441.654400697061,415.656460456242,399.221773078083,399.121549125885,325.336760726482
3,451.834397780181,521.161007083591,1087.15350351048,429.118133374902,409.343465260407,450.05134850095,402.83025131839,385.363463857331,383.452717936841,335.990858642412
4,457.918459315475,515.844029438001,1071.9119896369,437.87116994453,420.623774515064,456.024537163621,414.468234838834,394.502408048819,395.993420908177,337.963360395145
5,441.89231452631,484.325998854708,1044.91525946115,424.135613663939,412.999930519693,437.048357453136,406.959806620265,391.561016041002,392.079676421811,328.431089238625
