"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTSam_vs","MinTSam_vsv","MinTShr_vs","MinTShr_vsv"
1,2750.21712135489,2749.07450984701,2838.57640720747,2733.93625400375,2701.93642944502,2732.53738563681,2658.93193860596,2652.08633078719,2471.90987372319,2504.09822378722,2503.95275533707
2,2590.11715258004,2579.7135911694,2682.49825857588,2564.69094605611,2536.8587463734,2563.08380934937,2497.2613878198,2496.31213786676,2336.32468323381,2356.54539125549,2363.50721917668
3,2755.48597714655,2716.88711867602,2832.4170220394,2730.22272989593,2700.72413879136,2721.67109371838,2651.83447184636,2589.02103878215,2429.01165840264,2457.66947138523,2466.54807253933
4,2744.43206612708,2746.33137088745,2828.86666230742,2726.19850492861,2694.92790304131,2726.41895175946,2654.60107737323,2647.35647408833,2486.12103927396,2505.97231445729,2514.89107278892
5,2805.98269244755,2775.45189242076,2873.3729883257,2778.00432229134,2751.80995365767,2771.97141229364,2710.56827714619,2711.38299011919,2542.2999415735,2567.18453176038,2572.0035651945
