"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTSam_vs","MinTSam_vsv","MinTShr_vs","MinTShr_vsv"
1,206.508729820163,210.019400486825,203.188066594909,195.063946901108,190.832577185929,201.10014144097,188.437397692134,184.636626783003,212.406938038656,160.569581057491,190.380797104857
2,200.20462431296,203.445230346999,200.967375410678,193.022763552853,186.220219093271,198.730259117723,182.678351043592,181.063878266651,203.960355701175,157.650268134368,182.227331575106
3,191.426018479057,200.007447237119,197.009417302537,188.855295797356,179.701752537041,195.255319226235,176.162763403444,180.005134830796,198.431923417487,156.110349310479,175.256132815665
4,184.254841657718,200.647808700155,193.24979851928,183.729110984778,174.365413895958,191.262014643423,172.140045962801,181.263509456285,197.913839421243,156.712439434516,173.251532747436
5,210.604869344447,220.878706144309,216.050552353912,207.511313993929,198.80611978089,214.218889137269,195.621700581824,197.939034889969,220.404087213409,172.33047125981,196.175278172213
