"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTSam_vs","MinTSam_vsv","MinTShr_vs","MinTShr_vsv"
1,2777.75344222555,2698.03518806889,2806.26601864112,2709.419345772,2693.98590375912,2699.68734941788,2653.69177041169,2508.31224050032,2486.81672285592,2536.8195229705,2515.44246387878
2,2709.41383414876,2680.84358570183,2732.35082509119,2615.09504931556,2598.43597224043,2624.05250554447,2563.92871421502,2477.85885471193,2447.67610827057,2490.52603598585,2464.91283824827
3,2579.7696273865,2525.9016451718,2621.55951276125,2505.53816953167,2486.35627681954,2503.45819215882,2445.83302196894,2307.27633909689,2283.33982202543,2332.67479252957,2308.62735692531
4,2809.01586028624,2695.20069678691,2825.06209293948,2737.18527436406,2716.37449036303,2720.62851526223,2662.15519766766,2442.34779584496,2423.47698501723,2490.80907643328,2462.69558775061
5,2602.19879741337,2541.49387349135,2647.04105705018,2533.25244133555,2514.23045694178,2528.20855966115,2474.27347685328,2338.68679888868,2315.54968243466,2363.13574917786,2341.9684988297
