"","t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv"
"1",1,35.1445315670662,41.8988804979158,133.148178675924,29.8764987303734,26.2127820007374,33.906760747315,25.3063147992235,97.1542545295286,182.164125827207,27.7870968028537,24.8860104951473
"2",2,38.1675288171304,43.1345652334022,133.865772885324,32.6884115979308,29.8122109478917,36.0064578043543,29.2410819692685,119.057004323294,224.101103883252,30.5948992916968,30.2089198988314
"3",3,35.7831938346618,42.4027861842307,134.395752157645,30.5916780291114,27.7223871012044,34.8848859595354,27.3994589251633,45.6173282959899,60.0245388379469,27.8884543918346,27.8323270775252
"4",4,35.4400891352337,37.3062276467221,131.065201893492,30.0912243463329,29.2016482801278,33.4503854005047,28.73416266495,31.2245102228338,32.8966587958136,26.4522729414217,28.6449848019947
"5",5,36.7882661726063,42.5677091149455,132.971834525175,29.2063297183466,29.1209359568477,34.028442766171,29.013057287356,14.2936128089451,-8.29268439026875,27.8154252132349,29.9131302865679
