"","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv","t"
"1",469.462945812533,554.502464924532,1084.47992181233,437.434172340164,420.486021716122,457.44443737569,416.405622333768,410.130116206874,388.604636973392,394.799961488001,394.937708765169,1
"2",195.584667087635,227.659635208315,809.708177626486,194.59587649752,190.470979903118,200.54563608043,196.239494325635,223.593769793038,213.419846183372,208.827136274875,206.379535686413,2
"3",427.289095279845,508.965972244786,1031.92315806719,399.309788380027,397.286978686419,409.591444282962,386.074993409825,279.613614465586,259.418900868294,281.892827913407,274.520872734451,3
"4",372.641539598601,377.718481317368,977.567652315259,354.708332100986,352.578023672052,353.826999241568,347.204229112844,285.667833555602,305.644044569314,297.731844116648,313.703576869323,4
"5",629.094811133005,718.333987644649,1264.32159627467,625.555701474085,601.788337426903,655.273830863487,621.64859917292,701.28841937069,689.10054488238,692.151328730251,676.674971428598,5
"6",391.711703723713,781.620547447846,1063.21326341303,290.353947095709,156.392369197704,433.790522259849,150.596518932926,116.978902799243,136.692543764421,124.208182294297,132.404294663513,6
"7",2025.1151444165,2674.54859665063,2768.04044425205,1942.20265691394,1727.81924800608,2147.51766602247,1732.09403657843,1269.14160670884,1291.29011139584,1276.99041010918,1300.28374788493,7
"8",858.852753905666,869.581291289717,1389.05824509083,804.112082285767,780.105462496403,763.262792037691,684.73786611169,642.307894298749,644.501828135601,681.876796118376,681.544644312936,8
"9",407.956574848802,1336.49224662172,1127.17949237165,252.489054359569,100.470940027875,480.53585938134,105.209336779858,92.3852767474061,93.4617221408905,76.7133076302372,82.8897041040725,9
"10",1715.93348396877,2434.99485961869,2439.93058164527,1612.43573244051,1545.04664691233,1780.67514695881,1587.16200938669,1107.90451922529,1131.47221263724,1109.6159579144,1145.00880229573,10
