"","t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv"
"1",1,448.909183754325,483.054264611431,1043.40371672451,429.790589697365,419.023092361298,442.109548340588,412.502994924655,392.125663633665,380.428466067396,393.976950254884,384.94070965828
"2",2,440.983387016969,466.943774349863,1094.80709377311,422.934786988555,415.684502941261,432.80297435919,409.796157346839,395.334776064326,389.866376187315,396.47861801883,395.057240546027
"3",3,436.909328893014,475.494963861769,1066.70156176215,417.718000972578,407.826551816562,430.405681172689,402.097292232329,389.43474820778,383.668374324681,391.270791824588,389.472883114678
"4",4,461.60563528691,528.797895639317,1087.81927938086,433.78943750208,422.997211539097,454.368388860653,417.52921139023,404.285837194946,398.55282077038,406.365654450797,403.774835694437
"5",5,444.359331227829,500.383299857644,1085.25249169331,423.467167656544,408.317322867356,440.751714567954,402.021415697009,379.248272257146,368.397038648317,382.462786063418,374.196190780138
