"","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv","t"
"1",468.053071486496,524.092307196055,1090.41489203919,446.935427279718,430.541467413626,464.31240840788,424.144798849306,419.354286305327,390.509095247062,399.144978303708,397.671620424177,1
"2",198.342330372545,227.240532866726,831.011764283173,198.160382535087,195.504827509029,204.432204183314,199.082435666435,230.829565705592,208.455645862517,212.475708653828,205.238360968553,2
"3",424.900783633927,469.646240738924,1048.52045210163,404.442730699576,400.973285332402,414.168840515692,392.671488013478,281.840620666792,269.858150844183,286.266213074731,283.94182739957,3
"4",386.822648586544,379.220422534592,978.390392079392,368.472957301782,366.46565346373,366.985201593497,361.650632585609,298.31701550088,319.341069094751,310.891804015425,327.221263834072,4
"5",637.894686864407,710.005805663129,1265.90292934379,633.718378766143,608.315287962125,660.581220322034,625.768317680535,706.473248166956,687.743148801812,696.846960134117,677.872571444156,5
"6",376.890852068162,756.93738690971,1039.7415378285,276.093086703302,143.704419530898,417.969053394562,137.696187954208,106.680714001288,117.755731876869,113.659861404875,118.102930074208,6
"7",2024.03876592434,2711.03743355773,2784.46145746577,1943.78944966001,1732.52737580026,2152.54925020271,1740.69726787698,1283.17731648226,1304.05275694957,1287.85610122287,1311.89622398069,7
"8",845.57123274934,859.697491161312,1415.1517166458,797.57987394862,771.951757607631,765.042495509649,687.144445135832,667.087396683326,670.857451292954,698.455704176029,698.502242618023,8
"9",390.348281082417,1278.4131651513,1113.37159773394,248.384001658201,96.3368867311862,472.754345779329,101.305332493038,72.0133109272595,81.9632485090434,69.7672090760203,77.581458610299,9
"10",1690.91862427541,2393.53781610549,2412.94662437093,1594.71151376318,1526.75301018819,1758.71911078246,1565.69802681706,1091.43073693185,1110.65471219761,1094.22862815448,1126.26808521891,10
