"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
1,1,1.53215045362224,1.83743114581948,5.844987319972,1.41610588342188,1.53215045362224,1.53686608681665,1.53215045362224,1.48182634827853,1.53215045362224,1.45518029410945,1.53215045362224
1,2,2.3673228535269,2.11991383158614,3.78943892903501,1.68037249815196,1.31401053473918,1.88983808357228,1.29775687772139,1.70441400257262,1.40870080648971,1.53003255008049,1.2979351470324
1,3,1.07161908772477,1.08178979302561,3.08484655426536,1.35281208138145,1.72908063770188,1.19260915304449,1.71088988206705,1.16704487184549,1.82755291752598,1.1242552446037,1.72396116514065
1,4,2.5698228578226,2.5698228578226,3.48365072116328,2.22537055818133,1.87015119837622,2.39705915533866,1.85996471408983,2.30342777648509,1.89945304913033,2.14889996009073,1.81859529333105
1,5,0.443941245458363,0.443941245458363,1.32073230245565,0.516839628126419,0.653976818838183,0.473735178545842,0.656320638091074,0.481599799977634,0.556880892745149,0.533494959291064,0.606670857439789
1,6,1.16654085478979,1.16654085478979,2.40719800153231,1.49729163224064,1.77666017161609,1.34785133615969,1.76590944987667,1.36052660685735,1.92559773096198,1.27184292037281,1.82319183064614
1,7,0.718394218444488,0.718394218444488,1.45945122915303,0.558450816756567,0.526289948463161,0.609783658748513,0.52555308308157,0.660915726574421,0.526892071311029,0.673764252307685,0.529425229155029
2,1,1.30160030633714,1.79435228685928,6.18099344098702,1.28653198163772,1.30160030633714,1.44507956509299,1.30160030633714,1.39983244887941,1.30160030633714,1.36320977357498,1.30160030633714
2,2,2.48201016189578,2.12362275757209,3.96208365321456,1.76957828697105,1.43273304043598,1.95450375467602,1.41084177669173,1.77514113149128,1.51191096446738,1.60400459071811,1.39579226552459
2,3,0.9407676826638,0.9476404298074,3.14385015293746,1.20023699961982,1.49519453998223,1.0693997667552,1.47969905532389,1.03969816748361,1.62539904344909,0.996679085142934,1.49178666671691
2,4,2.54553108644725,2.54553108644725,3.57844005298281,2.28811761641551,1.96332234730627,2.43258808253538,1.94690829864803,2.34396985962635,1.98480326944569,2.1867029361961,1.89886317288008
