series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,EnergyScore_Optcv
1,2146.0533575574823,3311.2761355299467,2390.093550933672,2290.0810918530415,2146.0533575574823,3056.8232868330756,2146.0533575574823,2146.0533575574823
2,490.14080784376483,569.8656287662076,511.63900713229305,435.4329950690921,427.9888580510969,505.3364448736291,432.2405783172587,530.2239737941806
3,506.33876483030895,753.8193033042221,501.858790019518,474.3246208982902,464.54163829351916,594.9829583144145,441.1804111607757,436.01927626857395
4,923.7901324682621,778.6981693786607,736.3145923387564,816.6003046707328,793.474304366929,853.195669495225,737.6912076590287,571.9120855988772
5,198.39372931936808,289.5466528102579,214.8844802428273,181.8678865098625,186.83337236420553,226.21961318963005,199.71234818164274,239.2315926903444
6,993.4734982543691,1039.5588991795137,914.1815624254792,938.7260131999069,903.350108963086,1085.6603573351697,1021.528945183922,689.0420092140295
7,204.7933725219699,199.31221566784666,183.5628893585717,191.71503973313136,197.45696023053938,202.2659420365061,179.66618703043812,182.85617615476474
8,187.4115273825813,208.33731444727331,186.3303045539022,176.73000810771285,181.00984447225986,191.0021287797874,177.3911281032658,186.03030655846294
9,166.53568641456351,191.90578698049254,177.80215426500013,175.15501113054884,174.15464878489556,183.78457567940373,179.8654693978075,347.97911635102855
10,192.13518250972422,239.03136609005628,207.7287974132247,183.41270828754818,182.9281621904062,189.9526055063249,184.40319062563105,283.5847844097006
11,195.30775489206079,159.9468143918709,168.94063865941908,162.2946856349365,163.60994283984112,166.12274985350717,169.5592500497642,149.32815707470385
12,114.32866400571402,137.7639863811595,115.9297647650085,97.16145510946467,96.41656420854918,106.12650391978076,101.36643549625938,107.89358576704795
13,192.32020512613346,151.97951646339922,194.7111781298146,175.97392976753545,173.4540933560744,178.34376469777524,159.6729649393548,184.60602535097428
14,70.80943172299688,56.45916579685116,63.22015896811215,55.78846220152172,54.73054532735918,60.164840298363764,53.11403461800429,63.23640748575345
15,366.231865087686,446.2742252062084,378.16923621136925,377.0750885109376,372.77065504098465,422.31940195298097,394.56607367065936,279.6098137154915
16,81.07809512664431,98.8992462444213,83.07423058858016,88.55790156007158,88.97950293135177,84.17370837910359,83.16671418077085,94.14817576422588
17,78.16904745285679,113.93287551999566,95.11286517655286,102.60816109267505,104.94848624931899,99.48568982330029,105.77237313907783,105.82374647163886
18,85.11161845370764,91.52381746350893,73.54916008330206,73.89805550442595,74.18073613597376,72.93814742076701,79.61900253937164,74.20757702321096
19,94.25572855926656,114.24445216377809,118.16911953999936,90.33834080698323,88.73600714375009,95.1817614863519,99.00005174225242,83.76865214540113
20,313.3302275787333,318.2077367134237,302.5889858047488,288.54367425457065,285.001942274455,304.7350778926431,286.70126442883367,383.2111294162759
