"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.34776101838026,5.63632970804389,4.87429177000161,1.91961059065745,1.34776101838026,2.93702502740024,1.34776101838026,1.52911684870425,1.34776101838026,1.34776101838026
1,2,4.22382709115855,4.53385821895556,3.66583728913196,2.97556447746832,2.21715729385362,3.37783760337234,2.126222104965,1.80322197369099,1.85825908909783,1.79389178302301
1,3,1.87225744736452,2.42191535310756,1.84059314912322,1.54681954991743,2.03855847763297,1.3944728606389,2.00229754419622,1.50845275059524,1.53266221593771,1.29554510916391
1,4,5.04810602984575,5.04810602984575,5.88162057252665,5.69312559499288,6.26953530044413,5.49365695905339,6.41677960806464,6.6134393445723,7.126474931385,6.51717592958717
1,5,9.97731868362602,9.97731868362602,11.3533973384049,10.2014434779663,9.55261056953539,10.3906922965848,9.40235785378118,8.34971509873993,8.28873168781499,6.95829810135041
1,6,3.9865536841986,3.9865536841986,5.83250124115155,5.68788759733889,6.22270792969921,5.19406303918795,6.0761681974584,5.12401111969375,5.24597163902817,4.96741297575295
1,7,5.13097987860476,5.13097987860476,4.94763910064283,4.0538519308275,3.55343311962381,4.47034114660517,3.66624156532469,4.50188563724392,4.46633908235233,8.93089483607146
2,1,1.40123951650091,4.86260303516727,4.77614867260603,1.89887824838358,1.40123951650091,2.70996252881608,1.40123951650091,1.53333073728145,1.40123951650091,1.40123951650091
2,2,3.88194151278364,3.8291096346659,3.32740393512252,2.58195729658303,1.96775269078402,2.88516980376891,1.91613205589546,1.68207358614947,1.77983795057942,1.75341858414652
2,3,1.84310053635529,2.41565800356121,1.85806360667086,1.46106111524662,1.88667604743848,1.37969086452127,1.81748395131896,1.44542130773582,1.49919803870907,1.29853540264242
2,4,5.75212027093457,5.75212027093457,6.48777953316065,6.21571316596109,6.70632796794778,6.03262939795798,6.8317381527334,6.93614270381756,7.38464286807105,6.3597969228589
2,5,9.55153848560531,9.55153848560531,11.1615227950347,10.0017999456923,9.4750391396353,10.0899105713498,9.28207565832884,8.3542116009886,8.1282769000817,6.80263854812585
2,6,3.79426868488236,3.79426868488236,5.43314215307812,5.31402563491897,5.76859104423362,4.85348702124344,5.60674456111106,4.7803537244787,4.88445741452559,4.83517985771555
