"t","series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv","EnergyScore_Optcv"
1,1,1.3918253618501,1.68975747831132,2.03214709687427,1.17317825609203,1.3918253618501,1.30714205151139,1.3918253618501,1.34868769181129,1.3918253618501,1.3918253618501
1,2,2.30876802478703,2.08497790709844,1.92791347931231,1.76825871499671,1.44233072080045,2.05077093040429,1.43214974038467,1.86577683362902,1.4628850874074,1.54865554211166
1,3,1.01898831563052,0.761259786611159,1.01494159436601,0.965740520119635,1.27100455273334,0.768730752672578,1.23210705974476,0.875664105310608,1.24972225468302,0.612148959921941
1,4,2.53030838324316,2.53030838324316,2.52294379620881,2.36907734330927,2.04355560779096,2.53529248844019,2.05379472463893,2.37567122403237,2.00983582748701,1.57520347025731
1,5,0.461495490337282,0.461495490337282,0.421982449190178,0.532686157098374,0.666910848624503,0.471363794928764,0.662887342214816,0.516179913946733,0.625067555274026,1.47564308216041
1,6,1.05678079035308,1.05678079035308,1.19931872390703,1.30018915164295,1.47941748170298,1.19426135965567,1.47310016035985,1.26497218981671,1.49851389536965,1.28543502533903
1,7,0.755313560961907,0.755313560961907,0.627386341416535,0.599677560741456,0.590694538902864,0.61919212877792,0.576828415373732,0.63134758025442,0.581119060313653,1.36715029332183
2,1,1.43530201730892,1.86357354930365,2.04102620815939,1.15607510366244,1.43530201730892,1.3102132591012,1.43530201730892,1.31403704993002,1.43530201730892,1.43530201730892
2,2,2.48191832938322,2.34177230219227,2.05526813281517,1.92177990106497,1.5188086269714,2.27060760409686,1.49399558084458,1.9615630588473,1.48861095820763,1.56096126397786
2,3,1.00636840611822,0.761343212807869,1.0592976570663,0.985980811622965,1.37569109132125,0.802712148568139,1.35458635400063,0.917049989271868,1.37250442556167,0.622466376122027
2,4,2.72479326248102,2.72479326248102,2.68823643107536,2.52824330397144,2.15937074309126,2.7091241856989,2.15202942701752,2.48403965243837,2.0686069619524,1.61455673191784
2,5,0.448111165667039,0.448111165667039,0.420923312301279,0.525045869506076,0.650526980404184,0.470017188008067,0.649023561526339,0.524750083911006,0.639721522351144,1.51187341709612
2,6,1.10352281861478,1.10352281861478,1.28212231863851,1.38791670442279,1.60160782545526,1.26894064989092,1.59653340863857,1.36399370250645,1.6324240636621,1.32876790765603
2,7,0.745958391013966,0.745958391013966,0.611684976497674,0.608104999807732,0.60224415157644,0.64382788080316,0.592235164516986,0.640498610562838,0.596583994824414,1.31705862138181
3,1,1.47187271277307,1.7064743380046,2.06156916344124,1.17086880657279,1.47187271277307,1.30687270069309,1.47187271277307,1.28782988891209,1.47187271277307,1.47187271277307
3,2,2.36203759731108,2.21621446810196,1.9952062915603,1.82830653801765,1.49916139185098,2.11615138591551,1.50759546861056,1.95484403262534,1.5521064410398,1.63693092559732
3,3,0.97187481779698,0.810697282428958,1.02228545946665,0.948527671350056,1.27538194946154,0.782773903500287,1.27140163342545,0.911139685413777,1.33439744656021,0.621981760721116
3,4,2.57316251398872,2.57316251398872,2.54227105147139,2.38935747824863,2.0739104208707,2.56116837307799,2.07878583854368,2.44702259141796,2.05192256996577,1.62417390663902
3,5,0.473928533998826,0.473928533998826,0.431940987003182,0.534655213937651,0.672263934990751,0.459848930158139,0.658074347850335,0.511186311865335,0.605767043244809,1.49353371062627
3,6,1.13309850714071,1.13309850714071,1.25622823898563,1.39461829225555,1.5642531965911,1.28668888498236,1.56086531821737,1.36643037948364,1.59665555125384,1.36798436239844
3,7,0.704021012146073,0.704021012146073,0.601810094138996,0.588507531234493,0.575653198230495,0.612675595373254,0.566354555187242,0.61359029505126,0.583625464442763,1.30385810533527
4,1,1.37519336786516,1.7936093236455,2.01455722053892,1.18722180112142,1.37519336786516,1.36476839298743,1.37519336786516,1.32663774640829,1.37519336786516,1.37519336786516
4,2,2.40315342807557,2.29882222960697,2.05626404081048,1.96385498227281,1.59860176558891,2.23740862748609,1.57638075848852,2.00850349924664,1.56075034958539,1.52212727545964
4,3,0.976574443169862,0.827442142252485,1.02421150145275,0.97324961817399,1.27454374874519,0.792070217906644,1.23857994666979,0.888928499794282,1.27041510165522,0.604510432421713
4,4,2.58208945949158,2.58208945949158,2.57519721601773,2.46817367643158,2.15297360419605,2.61130535941859,2.1467848005137,2.43225823809634,2.09022255820996,1.47306291711881
4,5,0.464316903281709,0.464316903281709,0.413349296867899,0.512890103037352,0.612164951364066,0.462500672288385,0.598783276224467,0.492868827875919,0.568867898039688,1.54030378445973
4,6,1.13239491429174,1.13239491429174,1.29747198948858,1.36256083832124,1.52311077701957,1.2800290559769,1.51588460831824,1.32824920066893,1.52920569688771,1.39102012583067
4,7,0.702339205566604,0.702339205566604,0.575542104730279,0.596692671065378,0.593052207318532,0.610527872414155,0.587427939935949,0.610251241509802,0.616561108255951,1.30473765312436
5,1,1.36434502858975,1.73142451321096,2.02323317529327,1.16547735495729,1.36434502858975,1.36380106646409,1.36434502858975,1.28630554314396,1.36434502858975,1.36434502858975
5,2,2.49385618874263,2.16158962757561,2.01804640067979,1.9628861385792,1.50397844559475,2.24042580137496,1.47422743692142,1.89928321782468,1.45309662224521,1.46091767177666
5,3,0.964654529619926,0.83010078106855,1.0038096649688,0.944446110619151,1.23557600231229,0.771703523262851,1.22355780757853,0.85270977815131,1.27588854843727,0.618041177003954
5,4,2.58024411039441,2.58024411039441,2.62281637989518,2.46854831527428,2.11096219393374,2.62236274245914,2.08816909896552,2.38246764217004,1.99891771040553,1.50876438502136
