,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
0,1,448.776982259623,390.382256237777,2958.59777001119,417.594063056046,448.776982259623,305.763572536168,448.776982259623,301.850632063878,448.776982259623,771.0883310605027
1,2,553.378478288841,343.267321440342,1003.08900507513,560.20490405284,569.926128038779,441.082263961736,523.03740130875,441.809592351155,561.5639742725,250.82882473554218
2,3,223.982706628638,415.843791473553,613.322918479317,207.474375790228,200.879267577965,273.662863103902,179.053605576009,295.896420849405,231.820589309589,176.64982755112612
3,4,726.170301828815,749.034970158961,1316.30327371545,811.153747373412,820.517689879921,825.091853170118,903.961600493788,893.091283180724,1029.31489980458,424.21670775125546
4,5,101.968156050392,49.348085420497,221.368767932011,120.082840143895,127.176080090328,76.7911577443988,126.270750553246,71.4046760674464,84.8372114877215,195.96836858068258
5,6,1145.73936245101,1368.21487479823,1439.46774097719,1160.08231575367,1150.84365879909,1254.94301193573,1220.11314892305,1224.67034807363,1184.17206376816,316.6034557567209
6,7,205.156811085024,190.218438611128,304.310368587516,248.40084623293,256.075537761704,217.472536905133,251.988979497202,224.520198986666,239.538970605865,160.94621793178732
7,8,219.763304695974,237.049360742551,302.594456359565,183.592098713615,175.522920805946,214.233186575871,166.82356600819,219.526569802946,211.335166122305,161.68744799506842
8,9,300.535795959169,340.342744006235,493.086825588442,355.908097314226,357.567912214532,337.035489651151,349.643347435802,333.897701653516,370.133431855967,187.0954679967147
9,10,377.911870802017,425.262102404982,529.525612617139,347.540289414148,345.736990694512,384.185368910603,370.521621024205,371.154450207955,332.190860166597,158.66706958257947
10,11,295.85063521403,295.850634855768,398.569514777321,331.106282132815,332.506400661871,305.250613074118,312.353563732755,305.133213444176,319.057854760249,102.24419133425789
11,12,43.92019921823,48.6778952284862,119.559848433079,59.6551016461215,60.6758302830164,55.5666250218782,68.078764139706,51.2259945924147,59.6643595048016,84.67297765849874
12,13,202.168490647964,171.756005456193,316.729513267973,247.919489925982,250.063229215306,220.196201009418,247.03048624628,216.779526661078,240.715634635911,183.22103416734504
13,14,36.6272910159544,36.6272910059264,73.9761053080752,28.3686918912809,28.2745705631675,33.5037936170729,31.743539305401,31.3227242000466,30.250180370367,66.83112600397328
