series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
1,774.6493676009867,1485.2354374815677,3347.66726813841,780.3677504351559,774.6493676009867,1004.0517170425505,774.6493676009867,1012.5828835121446,774.6493676009867,771.0883310605027
2,285.5593097699484,562.7702468539766,1016.2927557742613,312.4970220966041,312.18793586920805,427.8547717260858,382.734957276713,452.1971605914711,369.90230583653005,250.82882473554218
3,185.34229896402994,235.51529803203618,553.5556135831401,181.41361620434148,180.6805007959994,188.39692728422042,190.6344858510071,194.71030908395616,185.1325851508419,176.64982755112612
4,415.9577838841688,506.79404632657344,1060.9821835122323,435.6820515853369,435.11746682635095,469.0128992166888,439.69478689946305,459.06528033872286,409.93788845698873,424.21670775125546
5,148.81186835937757,207.91115663054393,299.5124904899946,150.89455959236392,150.31743467660718,160.43571603981087,139.47474854880727,164.39354435826175,152.72186494300666,195.96836858068255
6,321.15691143594705,259.8070518446337,533.7436365678319,287.0212015860914,287.0489459094877,266.7330569970492,271.2528464152874,271.44818836194503,279.917504013226,316.6034557567209
7,82.05504331892915,96.62527905139412,180.45461364812533,85.81633250853294,86.38669331785404,86.61326900438094,86.63006851752344,86.84694061989585,86.08472161319521,160.94621793178732
8,155.56881958471902,174.17446962401823,249.81736230858567,147.96322742624866,146.5303608952118,151.49283538426508,135.79782866475463,153.16359441963093,149.38205222417133,161.68744799506842
9,163.5357053463043,171.58445346018627,303.53822485057486,152.18834058697072,152.45289725085752,159.47745108822554,158.65795854321965,160.34947931941977,157.98721981144612,187.0954679967147
10,303.7591307640291,321.4508981777728,426.6716173247601,236.43040584591938,235.80137270757191,283.262712037888,270.8967410083416,267.9457942169693,230.42968310201616,158.66706958257947
11,134.8788393340483,134.87883924565173,223.68138717930933,162.9897953275486,163.27288149839785,140.63340638378466,143.74186268447053,140.51261268388964,147.10795643178128,102.24419133425789
12,113.20124633841147,92.89217929307796,138.82772175638513,66.33142209995961,66.34183956273772,72.49708912981507,68.13635389355683,87.10940992103643,78.22901685714746,84.67297765849874
13,176.46037324867658,158.8240078366678,226.13702558379336,131.9926204569017,131.95008390255722,138.3749765334003,130.86360447389518,145.55884292898074,135.73165766993554,183.22103416734504
14,51.971424933638865,51.971424930594004,90.17559259639172,40.59092481558527,40.60019843480455,45.8607526922373,43.79567114211116,43.93724995902136,42.26432449663186,66.83112600397328
15,129.89121166381037,146.12345450618363,283.8439017630479,127.0668682469168,126.89005765173215,132.94605442562496,128.53572742033887,127.60407613934944,123.70311154461716,132.08619867322204
16,63.28717432749611,63.28717435340596,108.54619286999542,68.04779225261075,68.2164137582261,64.47064378573545,66.07750570367533,63.643818925986956,66.39501988938635,66.9882453732001
17,70.89236460137647,71.00199296401073,130.51516506015992,69.36970023035629,69.15495789508523,70.58389552174152,72.56257805229097,70.85461404011768,71.74662923105485,97.51894335829932
18,73.83440967783179,88.31930425718303,119.15910356225943,71.40492577472355,71.02837948876211,73.54840488520665,72.89177980872279,75.73831549486303,74.15139607141892,65.65958631487473
19,63.18227314185683,77.6353793841319,96.95161027294326,60.55086842552481,60.61519467807809,60.2444027226945,65.04559689625303,67.14907615706058,62.721123605012565,79.74017104251536
20,343.16583256184407,312.4037432137243,557.6614251015392,308.65202806416045,308.5038131470074,312.6638333662893,304.83502510611714,295.3604733885157,272.5709460227419,312.55571348729944
21,136.1698339646301,137.26189857198742,232.8624493880146,115.57722644661514,115.51000156662441,122.70929625190506,116.00153360687933,127.23311317234396,119.0408106575316,119.19558897513487
22,112.16616861143075,104.10680581037546,251.21160299307272,113.31778762229696,113.22163916366095,107.61196543857443,106.53812943220903,104.43550237640322,107.43147821703371,120.29575627639645
23,123.22657785012477,121.65176379317018,192.65750034637384,118.04324230236917,118.12209593509192,120.04517142620689,120.70045076732696,121.54110608350868,119.94868576528027,110.586943504492
24,85.4408740721395,85.3141826774919,142.3411523292668,78.71280119655347,78.5161929205616,79.53056630374154,73.55364872681436,75.1860806545528,71.41969255713916,96.4436203927447
25,58.839034401533866,62.6000522272912,81.48417631883738,52.3704215660098,51.894900689943775,55.402585718246165,50.876457877965926,57.7031324173713,56.28652860586096,65.44182515562775
26,65.99596092681938,80.36336413452618,99.56644368022565,63.73965740999381,63.64751282295024,64.70728634205095,60.44850614203364,68.14989165858312,65.43061416725246,99.19409836009127
27,56.63830775918023,56.50217213207898,84.50404079010117,59.18303663330153,59.5188326979621,57.4377497406113,60.655067285054976,57.30028849889724,57.64221967523965,65.03685039510495
28,253.71952228213726,292.32151608783596,393.8999086706894,240.85704907108916,239.81227076436323,251.92359721383124,242.8339716465957,246.65062447905382,235.48425139395428,267.8574558206643
29,168.63124594807445,168.63124594766126,271.4382746906974,203.26953927553168,203.8995928160663,182.2489845318465,187.56962309388382,200.0674621548965,214.27812517872283,109.9547612030672
30,47.35178032527637,47.3517803222289,77.55972130821542,46.91405260941115,47.11599592423743,45.224279130613006,45.490234611395074,45.018040248960894,45.008436388873925,81.55561863663581
31,50.31373024908718,50.31373026295523,96.0633984467474,49.570464476083906,49.69384983213242,49.70405522752964,49.76562805944719,49.251797045719094,49.630458292759506,58.15310473387108
32,51.259674047620024,51.47795912363378,76.70218918867737,48.934723270216516,49.128666332122854,48.68246542549295,47.97472825537133,49.93091517889067,49.18012100716129,74.61908244983121
33,40.0353794639879,43.03724395100741,61.45194135854887,38.028754568098186,38.024532720434756,39.02605285327365,39.798721144248454,40.07599116402244,40.06237616523394,66.87693834938058
34,123.47177319710511,145.6090703304606,208.4731345527704,123.20649289037097,122.49766600183754,127.80014947765243,120.18497278754643,125.93064828418841,123.34819843775678,132.89328813073075
35,44.01643199450326,43.41104285079282,59.29230561561129,41.7260594219787,41.66740083215845,40.83386221163883,41.085740006626345,42.75360616885374,42.29165946781994,50.833733621910405
36,165.72082467907464,165.72082467907464,275.12284920564616,153.72072542058277,153.79843929117317,159.09401525689108,158.34955530749306,156.4210546513513,152.59376152721143,167.39631758003608
37,62.52026482016942,62.52026482016942,97.08001443635901,69.46875433085141,69.62700186084398,63.46907664093607,64.77006863836947,63.0510749574892,64.12836862898025,74.51505859366377
38,75.53665833189164,75.53665833189164,116.25906877099038,62.32364899009698,62.337872990838804,68.35839212928418,66.58420690168913,67.97124761742525,64.76454441603788,81.94485658435991
39,291.43500277941865,291.43500277941865,376.3571636516099,248.8103615800226,248.46319778246638,272.61347791695806,266.32754333609,257.48896987310536,230.36231800092511,182.79844973265395
40,134.87883924565173,134.87883924565173,223.68138717930933,162.9897953275486,163.27288149839785,140.63340638378466,143.74186268447053,140.51261268388964,147.10795643178128,102.24419133425789
41,33.08313088454633,33.08313088454633,49.75562394607474,29.091936966184864,29.096146573338284,30.145735095753622,29.55605181331055,33.18561469279018,31.463737492399716,91.24556277164872
42,36.88174798671886,36.88174798671886,63.1531792882493,46.03000330635765,46.10324948198251,42.38194039505474,46.46308247012198,38.4323071699208,39.40654676036697,27.246604472833667
43,45.93745458763366,45.93745458763366,66.4744038057821,44.61354735038463,44.63984793931642,44.740362190176995,44.605099241167316,46.00210471537985,45.17404871273721,67.11153291087375
44,76.51653024541785,76.51653024541785,92.82926623333346,64.3597045341266,64.28570042909381,68.53379944491083,64.64643936485828,71.65181873217851,67.07766187401,85.69188322747486
45,77.80276760082681,77.80276760082681,114.9811702812063,71.59778605986178,71.57688705701045,73.49620588990179,71.64848866442128,73.83864465520868,71.28047115988448,79.3991613812162
46,60.483120387621064,60.483120387621064,89.24185321060456,61.43214255965458,61.47170973045022,60.54996811489007,60.93248052556341,60.14533087837293,60.47757974155517,71.26073736039245
47,44.30090043624849,44.30090043624849,59.32333320993181,35.87540676034526,35.838915565807575,38.15134610359966,35.99973521367138,37.83965944606842,37.010688570689226,43.44454345592828
48,32.04549016418941,32.04549016418941,37.89917926797799,31.83734739069448,31.872110450431578,30.617882365268212,31.478031310042894,32.3426197861881,31.694904771395546,39.51801881023352
49,51.971424930594004,51.971424930594004,90.17559259639172,40.59092481558527,40.60019843480455,45.8607526922373,43.79567114211116,43.93724995902136,42.26432449663186,66.83112600397328
50,131.38968882379854,131.38968882379854,227.65899400986532,123.04094648605057,122.9932470458042,125.7993904935629,123.57712503577251,117.21397434004037,111.6724639819149,141.64970669934414
51,48.925659592975585,48.925659592975585,79.83145002790837,52.2362066281114,52.23497532426071,51.02626201659197,52.801652661134455,50.42023002023084,52.969139974491405,131.51828909620227
52,47.3245589924746,47.3245589924746,65.22628822067925,44.70360597151304,44.61472476746261,45.320127468406845,43.97011602431699,44.51892113522544,43.71893433388983,58.65690224327468
53,63.28717435340596,63.28717435340596,108.54619286999542,68.04779225261075,68.2164137582261,64.47064378573545,66.07750570367533,63.643818925986956,66.39501988938635,66.9882453732001
54,31.216059633984614,31.216059633984614,46.387071019024205,30.784591614084345,30.719729070234575,31.157196223881908,31.360587553348832,31.27526527816624,31.3217597728916,42.43547555353751
55,40.31635030800849,40.31635030800849,64.00369461831563,40.58053719441891,40.614422025734356,40.53890886655892,42.98785919514227,42.4363255018009,43.94469068404057,44.93163480751277
56,29.824345754085883,29.824345754085883,51.96091381718737,29.250775480504185,29.1850692802854,29.534182224265308,28.529187730721734,30.245455592363488,29.337841299097523,44.23266174850853
57,33.42279653387185,33.42279653387185,48.555530504560096,34.4132960839373,34.45569672788698,34.06669618407381,35.55072266382986,33.93746138525447,34.67498101851744,39.21607252675801
58,24.09331139731343,24.09331139731343,39.41223267403299,27.744172118091512,27.779307482827306,26.58661745712325,28.787392046478647,26.461943459726132,26.643738707580592,43.41721921643955
59,63.22788220302206,63.22788220302206,86.63081436124446,57.64661582398397,57.53532593705015,58.896062400070456,55.98303906708005,57.71535934870945,56.27441972043916,87.34298947109825
60,27.415861403336493,27.415861403336493,35.37344167241907,24.85535124248581,24.79700499963144,25.35868030247278,25.107039742140103,26.88334664715475,26.388035373919845,37.24903570099802
61,14.078568684875394,14.078568684875394,18.18343503226774,15.49741814618947,15.597823412573755,14.67937850139456,17.33333111872125,13.726868662760156,13.746750195436823,15.54115489491995
62,6.753078227971628,6.753078227971628,10.721129871049532,8.211092238245753,8.266224810510161,7.241136014719465,10.039525809661479,6.221885872783183,6.229366055647888,6.734726317375364
63,6.9481543625799596,6.9481543625799596,15.01457770767827,9.439832508957384,9.475785515696039,9.095389824890606,12.875314529442832,7.565081868836408,7.9402379216970695,8.27504264319366
64,23.810399955546433,23.810399955546433,35.15771629891707,23.06122838373379,23.047406211393707,23.078747197281558,23.160120042668016,23.597531789449523,22.973920481232465,39.530767379923184
65,24.25712580704277,24.25712580704277,34.34367281486605,26.43531890646871,26.45795466328406,26.15393903288673,28.667244278555742,25.022331031329482,25.03281289315746,35.44219720057969
66,42.016533001494274,42.016533001494274,59.225978273053364,40.008355704547576,40.00737638521154,40.08987181759421,39.140146015171844,41.488493353818264,40.80922925370913,52.326075576904685
67,22.148549637008287,22.148549637008287,27.357987285414822,19.12055802198628,19.150314262844145,19.078175833078532,17.60073558871266,20.775632852270515,20.37740105424754,27.745851442511604
68,21.701480511244,21.701480511244,25.254982699476972,17.752206591493927,17.696621442150015,18.019649837815187,15.799068051707478,20.248718412365932,19.834035446756342,24.598219098787283
69,22.710307121025043,22.710307121025043,37.822279898794996,26.32148993105839,26.419985415163314,25.91807965857542,29.922008485539482,23.122862984726268,24.048366604999725,35.634871903976006
70,27.9108504445821,27.9108504445821,42.302796025940246,26.62266490803681,26.59587596678645,26.67464405868746,26.06206145093907,26.59154192088732,26.2780316166717,35.420009046447746
71,114.27014957354417,114.27014957354417,212.76039131875652,121.80485474413511,121.93774599857721,118.87474845652314,120.46777133386149,119.33423637334653,126.41831283758482,167.865366006243
72,211.63777504857293,211.63777504857293,308.16338125147365,206.80230247403074,206.70510985015616,209.43628607591282,206.29492971060313,198.2936313282958,185.9246408774229,201.03044664007993
73,113.75526559160285,113.75526559160285,180.51838492118236,109.70241604690369,109.62538603724956,112.00796304649316,109.15550639744244,100.99545704540397,95.18581630165961,92.43122682235425
74,78.2638751796722,78.2638751796722,120.09465991910785,74.78699222727751,74.81168679173271,75.88937966601036,74.81743447052605,76.48426047860751,74.92186059824252,102.48852170793067
75,43.70294847761517,43.70294847761517,56.70558934854777,42.82366606873203,42.88843993160038,43.055737055110264,43.93625668948612,43.761488155770515,43.99642876419679,47.85177680831424
76,46.7811687564484,46.7811687564484,63.72137292821657,46.512359044512095,46.47264880214457,46.53160306567833,46.47936379075619,46.456650709766876,46.45520139084173,63.15768371557977
77,56.338961830857066,56.338961830857066,84.0954215671061,53.881381737204315,53.836011580714604,54.55346117042988,53.411394810573206,54.56655475046359,52.872270870075674,57.10560468880325
78,35.85957906633444,35.85957906633444,57.540354617156254,38.0733600182344,38.088850229797494,36.69026924070558,37.33608196850316,36.38720958591103,36.80045617903401,45.826110778583235
79,49.416460390897555,49.416460390897555,86.88973198613097,52.43344833710376,52.35896225265685,50.83188921454393,49.87481247491457,48.86984212212146,47.90501206240242,50.99188517522621
80,66.60948214318078,66.60948214318078,136.3254933095344,67.50124653144184,67.49996422684964,66.64176575226723,66.52682137572029,66.60327481468453,69.76671279455407,111.6410588062224
81,105.70805233088528,105.70805233088528,148.11020731390525,104.60492678900137,104.63330359212723,105.18263267253509,105.49043570290486,105.75097169113661,105.02632145908886,121.681439372772
82,49.04983090056001,49.04983090056001,83.05563074574984,47.90512664382002,47.93763758652428,48.69612716231077,49.093118884020136,48.958885627722196,49.118686056006396,50.04552633933981
83,80.03962106232791,80.03962106232791,142.7634875953283,77.36453961282736,77.24833289519343,77.86576119517811,75.05492444703613,70.91999536613854,66.91733157131095,84.54768788341082
84,11.585540712393614,11.585540712393614,17.382697937535195,13.964870472946542,14.13735052083346,12.996626502557667,15.80392727303213,11.941985348305932,12.211602325626195,16.087214824406516
85,15.646139131383412,15.646139131383412,20.31087408854269,16.453908560685253,16.553282313404093,15.978677242079335,17.971618621900657,15.664582288513031,15.633465832039613,21.432733011486032
86,33.49056370792609,33.49056370792609,44.58102547457886,31.55095139913179,31.514276973392708,31.74247165429882,30.073651651317324,32.707153028311374,31.922386071388853,38.78902682140646
87,37.45207857047722,37.45207857047722,52.31511113831423,36.29865276531919,36.22129098829412,36.87160015857832,37.1966326792863,36.40131460785234,36.48155714301208,42.028662885393715
88,14.417023289928002,14.417023289928002,17.801625292990284,13.053992902239948,13.050610547773973,13.23704018413458,13.711720756259195,14.102337554493445,14.095093692503378,22.64730673238331
89,18.810457617150906,18.810457617150906,21.94563852079156,15.937095091352125,15.93934154284238,16.011071180417876,16.47730982350596,17.162255147962664,16.681570226974973,23.143487566810723
90,17.3621320740663,17.3621320740663,24.94741526345798,19.277869519353025,19.28672814649093,18.02569949640215,19.04576540217118,17.862058474788594,17.906100441430727,21.614309150055124
91,15.92614016379513,15.92614016379513,27.16987437246115,20.522153505939368,20.579394183451644,18.574371186234824,21.00210098293392,16.327479012007416,16.366444851380866,18.900124668530953
92,56.097724305315644,56.097724305315644,80.03464052879669,50.69971937891958,50.64946328744549,51.70883990592798,49.31466752278493,50.89590666337454,49.819946006148,80.94343938835463
93,36.52510794718914,36.52510794718914,55.10632631733957,37.7422651989286,37.92973713889317,36.74189927928178,37.62203610602234,36.54170626113082,36.67363439233052,45.21859602153628
94,36.19675242970274,36.19675242970274,50.65143594707129,35.62284649683005,35.60044429109033,35.957993324994966,36.23280395278516,36.1575065505545,36.12946640724244,49.11764859055476
95,96.1082744254022,96.1082744254022,117.16508665662457,77.36458880810387,77.03970579998219,81.43567339548795,78.0521025450811,82.39844936152444,80.56268355631701,87.62964941887641
96,78.18621211825426,78.18621211825426,138.89670392597958,78.4193347240086,78.28646995369623,77.9978945402014,78.0348847252442,79.107848558096,79.8832890708457,78.02595451221978
97,164.20955333075275,164.20955333075275,203.01113119560307,144.58305470761493,144.29359041692183,149.08110079203394,145.83306719905212,147.480663423008,141.56613320844906,171.26138000496306
98,168.63124594766126,168.63124594766126,271.4382746906974,203.26953927553168,203.8995928160663,182.2489845318465,187.56962309388382,200.0674621548965,214.27812517872283,109.9547612030672
99,47.3517803222289,47.3517803222289,77.55972130821542,46.91405260941115,47.11599592423743,45.224279130613006,45.490234611395074,45.018040248960894,45.008436388873925,81.55561863663581
100,50.31373026295523,50.31373026295523,96.0633984467474,49.570464476083906,49.69384983213242,49.70405522752964,49.76562805944719,49.251797045719094,49.630458292759506,58.15310473387108
101,24.880128849317646,24.880128849317646,33.3275125263512,23.21236369436825,23.210654342831358,23.305945711066936,22.2542319042355,24.08957405090686,24.002629654106197,30.070628225263903
102,32.59712437877001,32.59712437877001,52.05408553379632,32.01049987085433,32.144471110117685,31.711755680251617,31.885197542085084,31.990021333555934,31.899794163939433,52.389855244088686
103,41.57585746572871,41.57585746572871,59.84022468729836,36.8921764062703,36.741127764552054,38.33641522665037,37.332942147043404,38.05623969205645,37.857257531704526,52.48257984261104
104,6.96944232128238,6.96944232128238,17.25266573872299,15.071707929389797,15.463032982333154,11.897408838227717,16.947140847477442,7.865919812549671,8.327301267281245,22.95933842792964
105,71.3548671618642,71.3548671618642,111.05135543687747,67.89521234792959,67.73587865652676,68.1885627993976,65.80523551781341,66.79597726145288,65.51192855365541,71.88952899089671
106,72.7998821119357,72.7998821119357,99.66082623325791,61.90614515124443,61.95259826534772,64.82999112868733,64.8582135772189,59.44866526867026,59.49932184474434,46.562316621296866
107,31.706009471958094,31.706009471958094,42.18608379292177,34.39452653822298,34.181542544951306,32.62824859638836,30.926702518156663,30.951264946472776,30.601192463960984,35.04062928022476
108,9.684683636833226,9.684683636833226,12.225566938134158,9.275148716721175,9.2341600203358,9.239947338370525,9.482199164993808,9.672490745884316,9.529955567858908,10.984109704212159
109,17.89079497953775,17.89079497953775,22.609138548856194,18.548219752132407,18.672152449088323,17.40057655781219,17.08637465977313,17.88546555535791,17.944454239478976,20.508402958578365
110,28.31050567305131,28.31050567305131,43.36870897639657,27.894975986290532,27.90854182385404,28.048653166975395,28.46154234383327,27.5212965408207,27.5209845265815,31.958056880059434
111,12.228690257920908,12.228690257920908,16.432402402129576,11.427080496960906,11.34247495750654,11.9916490503458,12.923713279304012,12.322067758409027,12.334267305873515,15.987497121872487
