,level1,level2,level3,level4
Basec,784.18,242.78,114.9,55.73
BottomUpc,1692.84,306.31,119.7,55.73
JPPc,1212.27,258.99,110.7,57.09
OLSc,784.33,239.96,110.84,55.41
OLScv,787.03,241.6,112.15,56.01
WLSc,1121.26,274.58,114.2,54.8
WLScv,1164.92,280.73,115.54,55.12
MinTShrc,1081.9,273.99,113.51,53.98
MinTShrcv,1348.25,298.78,119.07,55.73
EnergyScore_Optcv,703.14,240.71,115.92,62.2
