,level1,level2,level3,level4
Basec,784.18,242.78,114.9,55.73
BottomUpc,1692.84,306.31,119.7,55.73
JPPc,1212.27,258.99,110.7,57.09
OLSc,784.33,239.96,110.84,55.41
OLScv,784.18,240.03,110.8,55.44
WLSc,1121.26,274.58,114.2,54.8
WLScv,784.18,249.11,110.99,54.74
MinTShrc,1081.9,273.99,113.51,53.98
MinTShrcv,784.18,242.78,108.56,53.24
EnergyScore_Optcv,784.18,260.34,122.28,64.55
