,0
Base,5969368.89422065
BottomUp,11335028.240010252
JPP,27054777.97484097
OLS,5773142.050136585
OLSv,5727817.966764826
WLS,7481327.269224814
WLSv,5873754.044646814
MinTShr,7544838.225629636
MinTShrv,5681324.872425802
EnergyScore_Opt,5258562.3481856575
