"series","c1","c2","c3"
1,500.282291390636,500.282291390636,500.282291390636
2,432.560932834868,433.574724918738,480.925744155277
3,246.766264558098,236.846417111811,261.707700892148
4,1295.26929101272,1283.04250155023,1269.4612803787
5,246.172658896869,245.222792079032,223.066675399931
6,1393.7862269488,1394.23469998301,1404.10844922434
7,382.469066993755,383.164854935799,373.093268460986
8,242.180639967047,242.486583538237,257.153824543664
9,356.666933618869,357.481685895676,407.100532857952
10,536.58761488901,535.490868061207,538.154025913843
11,56.553667650035,61.7826092802238,60.8059595469989
12,86.2627377561607,84.1660303185246,78.7346890703997
13,429.969935826471,428.311609230035,420.696309168787
14,70.0333193324036,68.0302642807607,66.5978231035982
15,440.671069380723,438.244670265848,442.977816893595
16,80.863017869134,85.376108744362,83.6402358202512
17,128.520882544905,125.70241574927,129.707001723356
18,18.2909981772186,17.29345148786,22.6532511455989
19,196.339266342932,195.3838882542,185.152735899726
20,876.803108760578,875.034219927194,871.818537355654
21,265.669572478298,262.073296274623,257.325780636919
22,64.2475208662944,67.6847669006306,69.3982026427819
23,286.496992764357,284.157704516254,281.186716226315
24,138.341565368105,138.132292461673,131.660472563951
25,67.1378944009489,65.9220606479824,70.6766353594018
26,158.215898220966,156.50032962543,150.036121180861
27,38.6230649655006,38.1583493641197,34.4471755882798
28,1153.48983966912,1151.39099684892,1157.66005645883
29,149.580342413021,152.535740583877,153.757698838556
30,85.7316923087294,85.4365350362621,87.7416996576809
31,30.2780845774152,30.7997320289905,28.6806726410955
32,202.994651727086,203.030830728206,199.179328103639
33,148.462991277131,148.55655071788,144.476373058731
34,159.520321956042,159.658608492006,166.80910569814
35,81.6519661117759,81.8172009471462,89.2399218914199
36,293.618154633256,293.420810973506,329.589927232117
37,179.262350368349,180.864891970146,179.786540529084
38,329.090456970454,327.912976939107,326.08355353015
39,886.269756284191,883.804672264708,884.965177065022
40,56.553667650035,61.7826092802238,60.8059595469989
41,11.114131200403,12.2822390913832,13.4451930778735
42,39.2151916654177,39.7079485397739,40.5568000259748
43,106.954927109762,107.319501099475,106.477959834474
44,51.3660490972241,50.7542310504848,49.1144998305747
45,207.118099714052,206.019818067156,204.193381825799
46,228.54699549091,228.566071046647,226.654763857517
47,2.353857598152,2.13390277968206,2.00253840978132
48,1.75186994932647,1.79753796374596,2.00513466878555
49,70.0333193324036,68.0302642807607,66.5978231035982
50,85.6223285596398,82.5674031296138,80.8351513791946
51,480.114255982573,476.337893238443,477.737909937303
52,92.8350248902252,91.3331457057365,92.9686040346828
53,80.863017869134,85.376108744362,83.6402358202512
54,49.4010802909684,48.3082692775608,49.6154942790242
55,92.6451749297148,93.5745130905611,92.0325493054497
56,183.834386389287,182.846785629613,184.229799139064
57,15.4460886611471,16.1983456567725,14.9183083533824
58,82.0275318850519,81.940190533306,80.3141416964924
59,226.488189991898,226.79927898097,228.206054631686
60,6.41269779920576,6.38748301296491,5.15583781950275
61,81.7661592067852,82.1409109004101,80.7668838088504
62,2.34852312414965,2.53874430073854,1.71773539722731
63,1.19445104187429,1.32173689437087,1.8026876956612
64,48.3148993117851,48.4470605787288,47.3157620042574
65,44.8047030852452,44.4912459830234,43.0816604923331
66,25.4996729803604,25.7597079386774,24.5025403702374
67,24.9566215008927,24.7554825352582,23.5493979317558
68,49.6168193354586,49.7280661854043,50.8655968722004
69,117.09683285036,116.908958536023,115.639144918128
70,2.10584498284045,2.14758760306942,2.83372608012719
71,364.406923982685,363.873528797638,362.655837170028
72,611.754717778437,610.745389634473,609.959431685651
73,69.756243474045,69.9469859767827,70.8132970240914
74,327.596389533218,326.000239327185,324.723446636666
75,57.6287225785778,58.3441976420523,59.0237285870901
76,83.1937350311167,83.6837507475236,84.0504772362477
77,100.069587114093,99.3767755004767,97.9281726113704
78,42.7800214815193,42.8668240036034,43.2850030696065
79,44.339998102937,44.9356017677504,45.4938771011425
80,10.0404505140773,9.65851355549865,9.61702336067948
81,242.790594308149,241.63545689882,239.950702564861
82,43.4259997610594,42.2369252266179,40.9545099731528
83,142.097636398627,141.75501432664,140.034572086023
84,16.5045156882562,16.4397878692065,14.1517732332172
85,15.998587235117,15.6212217972879,17.9513948899465
86,62.9477653376411,63.270854077959,61.5952396265863
87,122.790297338839,121.617152025873,123.054373175535
88,16.0009146921178,16.1833687575279,18.0525814220693
89,49.3231642844239,49.5046977585296,50.9499074631861
90,27.0328766273785,26.6109931177897,25.2851427323657
91,8.34458991626814,8.02848463950583,6.59801982781874
92,177.472681513673,176.926857989298,174.885809032976
93,71.7385150115924,70.8240471343132,68.877467236264
94,24.5980895848647,24.2386244634282,25.767687187895
95,88.3005941252586,89.1191398724992,91.8576423248681
96,247.962171590566,247.832298067625,249.834631583591
97,814.586585100253,811.7467472729,813.27453157715
98,149.580342413021,152.535740583877,153.757698838556
99,85.7316923087294,85.4365350362621,87.7416996576809
100,30.2780845774152,30.7997320289905,28.6806726410955
101,17.7195412342156,17.9178706755138,16.0370799730645
102,185.179102882444,185.019528631675,183.081002644565
103,103.471165231113,103.886113952673,101.874698956661
104,44.8189740750198,44.4908679792642,42.4270848823109
105,25.7353385328849,26.4741229194525,28.8451449531478
106,89.8445089997971,89.5122526884312,91.8560116406865
107,43.9616286859699,43.6917484541433,46.0332805148484
108,53.8396614770814,53.6810332154638,55.6421024398585
109,10.3177356013721,10.4575575121212,12.2101821700616
110,26.5218465358492,25.6865491386846,23.9124133478913
111,52.4633441347732,52.2306696082297,54.1825373510844
1,1300.8915142019,1300.8915142019,1300.8915142019
2,277.615307063191,271.364616639465,276.877134270458
