"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
1,36.1304330677048,42.2508806022092,133.574587412356,30.8271826605905,27.9204604295597,35.0634482156021,27.6381471940084,28.5852490988733,28.062012680035,14.9438026197879
2,37.0709252729769,41.7697968471292,135.546307853962,31.37437598677,29.7041721443027,35.171020481572,29.2916697590901,27.6890272475598,29.6572653733668,12.4344874753306
3,37.9588176425296,44.139804029326,132.812406644029,32.5371918192827,29.8313301387897,36.6947246453229,29.4003345889673,29.8257115731667,29.5659420153737,16.9313223665759
4,41.6185432295369,48.1283198045112,135.94472954099,36.7717823231614,33.2918689023531,41.0674250652359,32.7269680970657,34.2100657878829,32.6845868772132,16.7942982844423
5,34.2293554889816,39.6402926516332,130.129826769918,28.6167753711917,26.1487136952477,32.7059823930956,25.5578288210946,25.7448396433734,25.4240219563458,13.289567805378
