"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
1,469.462945812533,554.502464924532,1084.47992181233,437.434172340164,420.486021716122,457.44443737569,416.405622333768,394.799961488001,394.937708765169,308.307008830015
2,448.085380857514,479.475506960073,1052.13698661799,431.629787900027,419.404744383714,441.907670637558,416.223582475524,397.241136212548,403.212628964654,288.506499019626
3,457.310769811251,571.29418862205,1074.30664549547,426.719187004278,408.202949751834,450.14419183758,400.658960517766,387.668369095297,380.55603529936,310.441215099297
4,451.499960086252,516.929707349483,1074.96164112375,428.873998609778,411.247498085915,447.31852853948,403.402660464804,379.529916916568,382.726785696969,307.32553180674
5,431.681885880247,485.232369025188,1042.76531968494,415.983749781302,405.370464901768,430.603691766992,399.374006218515,380.704049912956,384.892541462089,309.376250797355
