"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
1,469.603832487214,554.502464924532,1083.87618212307,433.511851088691,420.732573396815,453.655053176747,416.65217401446,411.41756870014,395.545851577778,306.779283638708
2,447.928242002865,479.475506960073,1051.85149736801,427.856875074615,419.129751388078,438.425976743526,415.948589479889,424.974667634642,403.682882218805,287.728262882112
3,457.393403888432,571.29418862205,1073.73172072683,422.754551393729,408.3475593869,446.329625677738,400.803570152832,380.787502206131,381.510884747823,309.524883495108
4,451.898002980788,516.929707349483,1074.46813862914,425.169605024657,411.944073151352,443.698855748344,404.099235530241,386.547232721763,384.449458371549,307.44332322588
5,431.887395240244,485.232369025188,1042.21770710652,412.282561023022,405.730106281763,427.001200459034,399.733647598509,384.673640989286,385.852108106834,308.512702432622
