,0
Base,447.31343244601385
BottomUp,516.3200681709011
JPP,1071.34186388032
OLS,425.8397538141896
OLSv,410.31076653879626
WLS,443.3458705679308
WLSv,403.7453690078102
MinTSam,427.5770591989334
MinTSamv,378.5690622708702
MinTShr,394.64946003264083
MinTShrv,385.8346195700762
EnergyScore_Opt,295.9225724668807
