,t,Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,MinTSam,MinTSamv,MinTShr,MinTShrv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,441.536286899866,473.081186873343,1085.53551849118,427.013809489294,415.311684843501,437.819981156641,409.996088253167,396.607091624163,386.479112511537,399.000583403131,392.016330350043,297.8165961846151,308.61663539041774
1,2,449.298746936836,507.06393436562,1071.52301330438,423.401155136064,413.40882307635,441.99873899213,408.271968648494,400.269341231305,392.308977079696,400.341991851997,396.181146435376,298.8152217486902,330.5547072396922
2,3,409.174865793862,452.788545331095,1052.80016741911,398.356666750868,379.727299927628,411.250634775533,373.847798951627,360.697607183721,348.075317498998,364.37548518061,354.017642078148,299.6296138809355,319.72985943872163
3,4,450.019895870398,472.795045194512,1064.48467463749,431.957056810705,421.355626097225,441.691765596104,413.696540488629,395.249645596638,392.120018522456,399.987331303968,399.326411440845,276.8614017774784,319.06638782286507
4,5,432.875486935561,482.933153773818,1055.10704783839,411.420131596319,401.071720627437,426.736142470936,395.652250358393,381.663417102201,375.535331773266,382.819380206552,381.341243397237,295.9548308450699,323.6019801455681
