,t,Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,MinTSam,MinTSamv,MinTShr,MinTShrv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,37.392565329609,40.8219269196389,137.845992692172,33.3738227204403,30.3249518018847,36.2075997495642,30.1064870377409,280.394292857876,98.6159631084157,36.595111966476,31.2670356070254,10.604892248054966,38.04819040101023
1,2,34.9459602867254,39.7593680619425,132.8548446383,31.5117621741345,27.6949267295911,35.3599699977133,27.1668229261805,-254.896714409493,-33.6378038937687,32.0147448079368,27.078415284504,19.425779079723288,48.14942943376079
2,3,34.9946968363264,41.6483271676838,134.421822332103,31.3744765701275,28.0891851322351,35.5809195811386,27.9041719645486,-991.424534637827,-191.102067413907,32.4797905112736,28.2116416263053,12.990648405619112,39.49528843657313
3,4,38.0666220594064,42.0561742871857,135.801788620464,34.5525322625974,32.2933278515984,37.3098581357286,31.983520992012,-57.9073510858454,9.0212294523716,36.6293777019245,32.2109882032191,10.460673902125592,39.53981344224092
4,5,32.6600229548722,38.2860199349934,132.144555509487,31.1837776882201,25.9372105860285,35.4175451060994,25.7069618177108,-72.7173651820663,29.3300612385576,32.4713080266105,26.5001191300809,20.623813767737825,42.25250719971528
