,t,Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,MinTSam,MinTSamv,MinTShr,MinTShrv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,38.5398289221921,42.1960781831379,132.180521943742,32.5030762376744,32.5147526746125,35.7003614499836,32.0784970509687,32.7600162854771,35.8322083579964,28.654520818871,32.2931485460296,14.035375117207034,35.32932816282459
1,2,35.6930932368353,40.4339192101888,135.339837965743,29.6601199829391,27.1665327006127,33.8105357925553,26.5486644675763,30.3786103658533,30.3567120309322,26.0528132067156,26.3958170542414,10.486723395874753,25.959369520535052
2,3,37.28034917174,38.832585592843,131.189311734499,31.5424305498575,30.6605196122247,34.4950131530576,30.0478657017201,30.9398123905688,33.4042902664612,26.6244906783495,30.0040811841024,19.035599370569283,31.568059827727442
3,4,35.3832634555522,39.1489622985612,131.842636359638,29.6370371392125,28.8331039571508,33.0383219104022,28.5173600799695,31.10557495043,32.9273514874009,26.4803841512122,28.903641680724,14.959462348122615,26.121242340595316
4,5,45.0592443009014,50.2330533773281,134.262923968745,39.2866727044007,37.1720348658745,43.2518518948127,36.6718925316491,40.2308986086093,40.7229234517281,35.7843068653679,36.8540644770465,13.766566617820615,31.387873484005322
