,t,Base,BottomUp,JPP,OLS,OLSv,WLS,WLSv,MinTSam,MinTSamv,MinTShr,MinTShrv,EnergyScore_Opt,EnergyScore_Opt_v2
0,1,427.778460359069,456.482273670724,1040.43845643236,409.335262615975,394.298585879315,425.067014348369,386.702544042433,358.9276968198,358.519381267692,369.96251055162,364.151989290445,312.15999641025167,319.0644626960155
1,2,426.515236290629,466.593795011954,1052.63661737845,405.507367604545,398.90379420528,417.760760427947,393.177616687105,364.446551940344,370.7283106554,373.116218493026,375.791222393396,289.1227297197352,325.8473664220703
2,3,452.613030689439,511.606427593662,1079.50401943061,437.660681755435,425.572898445585,454.949015787549,419.541549559363,319.527176969672,388.091503697546,370.955658020485,399.999180976604,299.4306200381098,336.1511817806115
3,4,451.794200128217,493.448939848506,1064.06622878832,424.74797030382,410.321081602109,441.558024379699,402.570144553438,382.545111037929,383.565432912689,390.966854712554,386.075162488508,303.25780403051334,339.25134161078313
4,5,459.725619360439,532.00250198792,1057.57682163758,429.499557347773,419.172453549453,447.159482234386,413.789052443397,497.585570720323,397.52311680121,437.068060420735,394.816838386501,298.6963505815639,330.36868283588194
