,l1,l2,l3,T
0,1.3591,1.6988,1.2218,1.3777
1,1.757,1.5094,1.2218,1.3804
2,1.9716,1.4939,1.2106,1.4003
3,1.0384,1.3972,1.2256,1.2479
4,1.3591,1.3953,1.223,1.2917
5,1.2079,1.4569,1.2303,1.2919
6,1.3591,1.3721,1.216,1.281
7,1.1089,1.1503,1.1719,1.1567
8,1.3591,1.3959,1.2019,1.2798
9,1.3591,1.041,1.3714,1.2752
