,l1,l2,l3,T
0,1.4078,2.9173,5.9986,4.4624
1,5.3024,3.3251,5.9986,5.1353
2,4.7824,2.6298,6.9675,5.416
3,1.737,2.0715,6.3344,4.4596
4,1.4078,2.0189,6.3358,4.3984
5,2.7196,2.193,6.3018,4.6161
6,1.4078,1.9236,6.3126,4.3579
7,3.1076,2.2538,6.0738,4.5586
8,1.4078,1.6218,6.2137,4.2151
9,1.4078,1.6626,6.7,4.5047
