,l1,l2,l3,T
0,1.4077,1.6988,1.2218,1.3846
1,1.757,1.5094,1.2218,1.3804
2,2.0345,1.5177,1.2167,1.4195
3,1.1706,1.4263,1.2314,1.2784
4,1.4077,1.3995,1.2209,1.2986
5,1.3306,1.4833,1.2365,1.3205
6,1.4077,1.3805,1.2134,1.2889
7,1.3127,1.4135,1.2215,1.2894
8,1.4077,1.402,1.1993,1.287
9,1.4077,1.0809,1.432,1.3282
