"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1,2779.24998146784,2697.77624223451,2798.42906322486,2697.96162436343,2677.27886925498,2691.34022170873,2628.03715222371,2469.40556745814,2438.40029454467,1888.54763470357
2,2664.66104335306,2595.70800685757,2700.70717975933,2591.52375079339,2575.33518527,2586.0359040057,2536.51747721876,2431.57891451963,2408.76660782769,1841.75651146438
3,2656.56505814051,2592.602533081,2688.38341484169,2573.9601862707,2552.98861603424,2571.82029432996,2508.51803113512,2384.18748174458,2356.79951335841,1885.70365354604
4,2605.77663293782,2538.68769849354,2623.97828197027,2506.25224947583,2491.01293727315,2507.15110955864,2452.04432545176,2355.68155022839,2330.26205618888,1935.9427541359
5,2625.88323292815,2563.88969051719,2655.55793616728,2545.84702297843,2529.45092933506,2543.64970322807,2489.89000748183,2377.36822795662,2352.03562027175,1878.00019302882
