"t","Base_vs","BottomUp_vs","JPP_vs","OLS_vs","OLS_vsv","WLS_vs","WLS_vsv","MinTShr_vs","MinTShr_vsv","EnergyScore_Opt_vsv"
1,192.409175985086,192.905857941459,191.582530512875,179.090443174313,170.699702644467,185.764556599231,168.139061652574,149.929406427311,168.220407618268,87.9844044614268
2,215.383055159379,215.226516194778,213.323095564567,199.69897894235,191.323246873547,206.726842363714,187.858259933909,163.877835403876,186.5140957143,91.5846679265121
3,202.762358539889,204.79948343123,201.129354427901,188.040569682489,179.792154725687,195.647371946035,178.260745718171,159.721972195724,181.323663676212,88.3703922924381
4,206.210890661208,207.712898918628,208.492472160305,196.262152969676,186.894638957536,202.563437442093,184.036503217958,164.85539169351,183.861954843206,85.0741208565305
5,204.560196026099,194.759733989056,201.300678672096,191.734719159506,182.206899415291,196.078748608075,176.837562797643,152.816993843144,171.655184479583,87.5816930426073
