"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv"
1,37.0787962573528,40.1221717466237,133.656833218339,32.2902507648991,30.5202437412807,35.4313363445247,30.0432386747675,38.5481274946177,32.6318486218805,33.1123800075923,29.8079088555132
2,39.3476411061846,42.9749364102025,134.794857821386,33.8275211718562,32.2737012374435,37.1764083364957,31.6950016080664,40.0892633798262,34.7607128170904,34.6779757849485,31.4914661294129
3,38.2230205386844,41.4422134366314,138.589900792099,31.9493924779071,31.9530868746427,35.0808246423204,31.4637947671711,38.5164625960649,34.6662619187231,32.4675323725016,31.0795139922407
4,34.4319092622156,41.3011447639909,131.930374563992,31.471160808375,25.5787246182564,35.8314504193681,25.135317698761,40.734346509919,29.6278715619803,33.2203034164673,25.2151323806111
5,40.0546068818074,44.3280403482244,140.232208589403,33.599892735926,32.5960699787778,37.3776796718985,32.1236690276393,40.967195891604,35.5760992450308,34.8012886200314,32.1045770776466
