"t","Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTSam","MinTSamv","MinTShr","MinTShrv"
1,36.0202981244953,41.6181898461886,133.508158751081,30.4105880513697,28.817380338103,34.063192448806,28.2230870289273,-5.6924687169604,-62.7672211639076,25.9847633136461,27.7367135188413
2,37.03469233966,43.281252982861,133.481060806538,31.245525978651,27.8953267374047,35.1957128509777,27.1086556963805,39.2602696109957,41.6568831612696,28.0391274616639,26.6250633527162
3,37.4810598309978,44.7312829301655,136.947990525724,32.0359956225562,28.0648203772124,36.4609284286641,27.1906198260787,44.2116997530989,58.7258867026041,30.0666200078093,27.0737950138765
4,37.5127140383295,39.5756438513373,131.98665149265,30.6868977253835,32.3693356788559,33.7496867924348,32.1007888390033,-17.1975000800616,-62.8280413264991,27.2382504504113,32.5953446074513
5,33.4538239923427,41.5521648304671,130.029617246622,30.3349757181133,24.9871191963111,34.4492775393552,24.2717023706112,-8.57969177979114,-69.5245798518658,27.0725988849283,23.8118559734985
