"Base","BottomUp","JPP","OLS","OLSv","WLS","WLSv","MinTShr","MinTShrv","EnergyScore_Opt"
1640.82681219728,941.259977788152,8761.90711321673,1549.34462109064,1559.42557897025,961.870944166042,974.54159008158,942.591669103775,1503.26734111275,8228.23066175364
2706.32447735901,4019.92668670807,15706.5774118257,2645.64081593749,2598.60825534821,2647.40177783769,2684.31756025391,1795.24836003572,3601.28601110933,8399.71667609828
3398.35686801216,7727.70294513087,20792.7787793839,3284.39247252119,3271.50273428104,4072.66987774238,4196.66121127782,2621.22633490119,5725.37611591677,10261.6420363887
9831.47126924789,19905.7370276103,30879.5593589953,9734.89648546162,9770.35225624892,11995.9107415346,12277.026575979,8260.89782878147,14498.9642087121,4064.55720810043
17952.1248363957,32091.6230210621,41736.1616716921,17826.7730071323,17853.5731613572,21269.0282231472,21616.3446096254,15339.1669541805,23029.7654553318,918.252171983209
10054.4896510331,21439.3811760089,34343.6251170798,10021.790629979,9985.59843143714,12737.5587698315,12927.9222883793,8430.86213282719,13558.4749150645,1847.44120367499
