"Base","EnergyScore_Opt_1"
12068156.3029824,13709651.2791998
10300299.9795225,8845155.16301775
4078731.64351036,4116214.16499871
3085152.6429541,3765358.63437581
6929630.79955716,5357722.25670348
2033825.68622716,2687583.92432454
4675661.28177136,3637673.41560258
2530359.80728624,1620619.39796645
2714432.7711852,2483931.23539165
8572794.20035397,5694355.40575877
11464073.5061002,9321977.7032118
3179308.10919716,1862505.59767655
