"","series","t","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
"1",1,1,1.33453056136451,5.04480501851625,15.0660717559364,1.71371642691948,1.33453056136451,2.43814876025127,1.33453056136451,4.57319910058253,1.33453056136451,3.04875534085055,1.33453056136451
"2",2,1,4.04762472982718,3.86759551151047,9.47276774123011,2.50287972748058,1.86626868992033,2.80384656793198,1.72265155702612,4.37683161444991,1.67047706395497,2.99074565093942,1.4874692473832
"3",3,1,1.73733347474099,2.16725598816661,5.95433797365966,1.42828003946492,1.93747666723607,1.19826768689563,1.86186854019362,1.30985539665909,1.49762607538869,1.26839819499536,1.31549282071212
"4",4,1,5.54584863949014,5.54584863949014,9.42946513798774,5.88410525820212,6.39647672531606,5.72159283441044,6.58037122061238,7.16659702335799,7.21956291370814,6.8381697695386,7.1809223617648
"5",5,1,9.31219996062226,9.31219996062226,13.6960399982892,9.67712584448316,9.08376847166907,9.79277165755269,8.87615587147819,6.38826300802535,7.35091184618194,7.34732668229321,7.64908541756588
"6",6,1,3.8536756703197,3.8536756703197,7.65225648350378,5.48662310812611,6.07816831977127,4.97903078145811,5.92544339534654,5.0925751149131,4.73234882157791,5.18176648812055,5.15078451715493
"7",7,1,5.13207520709598,5.13207520709598,7.02037346440251,3.90827509091851,3.35315192390789,4.3648269305077,3.49156889749222,4.37071657389868,4.4217939811022,4.4109838663626,4.38008293083016
"8",1,2,1.46343740662482,5.00727580933054,15.2973298641363,1.59507759301431,1.46343740662482,2.5190874782976,1.46343740662482,4.41306815113327,1.46343740662482,2.82753860737971,1.46343740662482
"9",2,2,3.96648196877323,3.83225165584039,9.7089562567932,2.49517371743397,1.95913317856354,2.85765826068003,1.86144174289008,4.63767130354956,1.91716337363489,3.0345704249169,1.72051280757191
"10",3,2,1.95064670198398,2.57320854367119,5.98929275597194,1.55355760839375,2.13241111636585,1.36690738331517,1.9782284508488,1.44423583687512,1.86087130636436,1.40252926076806,1.51157967091587
"11",4,2,5.47892200389981,5.47892200389981,9.48814228169727,6.22920682534762,6.82869195864642,5.94097844233315,6.95218014790061,7.45104977245586,7.72568291514413,7.29886403930202,7.68207841698568
"12",5,2,9.5637273964427,9.5637273964427,14.1032747335581,9.82426961505308,9.20234468880285,10.0101228624084,9.0188063560899,6.68726904423592,7.57801358522018,7.46072138079136,7.87215994813342
"13",6,2,3.79036396798372,3.79036396798372,7.50760235498957,5.38229966264509,5.9126452239621,4.86185501058363,5.75928849423035,4.96170287977946,4.55116499177272,5.0643887971781,4.95727094808038
"14",7,2,5.08286972015086,5.08286972015086,6.99625709004343,3.95818307524105,3.43462196177306,4.36429412347643,3.46581686477192,4.2593900804483,4.33596412970897,4.33542832479361,4.31083566506219
"15",1,3,1.37590645681691,5.09171879691072,15.2461073329721,1.63104375166561,1.37590645681691,2.52858076548929,1.37590645681691,4.10280621109928,1.37590645681691,2.74594581269164,1.37590645681691
"16",2,3,4.12087239201581,4.01939508276984,9.6515032489546,2.82032365799258,2.04317701234308,3.04061439609446,1.9313423132882,4.34425948105551,2.03032273636841,3.02644645536589,1.78744815059001
"17",3,3,1.77000874387429,2.45923396232005,5.85093770578302,1.57342955309992,2.15869444665258,1.43707603936697,2.04455572532308,1.43887172983458,1.84533221067273,1.4194941941807,1.57624690441717
"18",4,3,5.34043743227823,5.34043743227823,9.06109390703685,6.01664645430379,6.54825081810831,5.78219568813067,6.64264296321096,6.92311309496424,7.31441408478973,6.83138498037607,7.31265086346283
"19",5,3,9.49018131826949,9.49018131826949,13.7380130267781,9.65836041312819,9.07954843321513,9.8152323630897,8.94063718560161,6.77193366516064,7.64139393493937,7.68029695326044,7.90997592355595
"20",6,3,3.86443391902303,3.86443391902303,7.62850991043579,5.39911340713123,5.93821432361902,4.91107147168461,5.77904611537732,5.00993395534023,4.61598626734259,5.09911323934069,5.0089668559138
"21",7,3,5.01253135852593,5.01253135852593,6.90275693804909,3.84977660033713,3.34714287982075,4.2711970796689,3.44995053852722,4.09883262100618,4.2394944983129,4.18724660785602,4.21723578443877
"22",1,4,1.44549071566839,5.39780216196238,15.3723226822024,1.61100319795677,1.44549071566839,2.63339498609615,1.44549071566839,4.167795096249,1.44549071566839,2.77659296235962,1.44549071566839
"23",2,4,3.78242738173005,4.07017263404898,9.62265076270702,2.23296479820298,1.67688405430705,2.60687832460295,1.66151822180892,4.22482580894867,2.0445953527476,2.89350200918408,1.80838426280381
"24",3,4,1.67438935160563,2.31061288632265,5.91450156316989,1.29579306957987,1.85394012864703,1.24288788338445,1.76871714569033,1.31465087345746,1.63649944795232,1.26508520043519,1.3641137663785
"25",4,4,4.98139832153582,4.98139832153582,9.20165554916721,5.6577099961244,6.33353821413626,5.37121661000782,6.43334363950328,6.67873483387985,7.19751229031674,6.59474635149519,7.22643603639347
"26",5,4,9.33280279515063,9.33280279515063,13.4515652171029,9.43624099496326,8.75339642267988,9.65082545783629,8.62802777230092,6.72980180085164,7.33015807793707,7.60484290558164,7.53035602501408
"27",6,4,3.98649858259214,3.98649858259214,7.47496961809268,5.48796043241839,6.0751975873996,4.96094305529626,5.92198127340517,5.10216446097518,4.93858841232622,5.18105875836299,5.21445549858428
"28",7,4,4.96340969881947,4.96340969881947,7.110233904533,3.84040377980473,3.24881613355232,4.31896384689523,3.33874767401638,4.41334167849925,4.35682408164071,4.43449450146946,4.3172114129046
"29",1,5,1.29005237651353,5.15717687028307,15.2873301425777,1.72966450769908,1.29005237651353,2.74414785429635,1.29005237651353,4.41016131294243,1.29005237651353,2.97622573019292,1.29005237651353
"30",2,5,4.19297160222407,3.74953873985708,9.53516394802621,2.6998338716463,1.88471644897814,2.94395790636501,1.76737025913025,4.45660854941283,1.88447258555244,3.04849025391478,1.68845313183772
"31",3,5,1.78883048712436,2.44493258696661,6.00042605874503,1.35387225981582,1.88517498201011,1.1814438459138,1.76719330361624,1.25219844089006,1.62588236894787,1.21393623283597,1.30128572029219
"32",4,5,5.22723455104671,5.22723455104671,9.19389259261817,5.91666359830033,6.5074987824326,5.67203458169206,6.65360619330849,7.20986138180089,7.51421218519015,7.02578324304396,7.44979157907384
"33",5,5,9.31329166737773,9.31329166737773,13.6976477647078,9.6259384559483,8.97304604587459,9.81312881281251,8.77162154039443,6.64107628422679,7.29500616272734,7.43932517559858,7.55680626880645
"34",6,5,3.45789877738475,3.45789877738475,7.44996535289422,5.29794282292334,5.89939050649079,4.71371188510919,5.68933872844595,4.80589809846227,4.31175834721787,4.92086373030523,4.78585346084928
"35",7,5,5.24093189041133,5.24093189041133,6.95901685508226,3.91736176459166,3.39124649745384,4.40910281334921,3.52643007637645,4.25167180761076,4.41485435352927,4.32814092389348,4.37716980483588
