"","series","t","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
"1",1,1,1.39314007994829,4.50014800700293,15.3699817610918,2.11572443155365,1.39314007994829,2.88382142448374,1.39314007994829,1.62554921845144,1.39314007994829,1.53842518729987,1.39314007994829
"2",2,1,4.07730514105449,3.34228625916112,9.80706733342739,2.94135976925669,2.3998325325846,3.14950360886363,2.26063710143295,1.94455734838845,1.7134801990263,1.94883669690263,1.77522368242583
"3",3,1,1.83357279411128,1.94678780001387,5.94990803468541,1.91696223650406,2.35536638784765,1.71418351481951,2.21466359945458,1.66907127968932,1.66792250611073,1.69329409441818,1.70792067011137
"4",4,1,4.88799479489695,4.88799479489695,8.7649965989894,5.30092859716655,5.81541641425797,5.11557198683788,5.94874016659227,6.68218714654679,6.86787287315857,6.35255862943584,6.71284342924328
"5",5,1,9.87375791971882,9.87375791971882,14.088429521151,9.6170113012943,9.06663078807671,9.7890521654834,8.91030442548159,8.73074290516802,7.86736679449499,8.35234041881631,8.04973071785287
"6",6,1,3.92050415422397,3.92050415422397,7.56069024911621,5.28727769869031,5.756036715522,4.84524088454495,5.61646461533955,4.66406898344773,4.72519335014557,4.80427045769061,4.9793862601737
"7",7,1,5.29827871767531,5.29827871767531,7.04947368745671,3.92566670987223,3.51304514609673,4.34261708928123,3.62132735165477,4.53081780541649,4.38771160800971,4.40341891242003,4.34002316391436
"8",1,2,1.49438651044772,5.01306752221535,15.2098295783428,2.27003899296682,1.49438651044772,3.15645100349326,1.49438651044772,1.71363153011194,1.49438651044772,1.64650966410305,1.49438651044772
"9",2,2,4.17653369595954,3.77404074875483,9.87328903031649,3.06821913938038,2.44717020561567,3.35391331410192,2.36161080932178,1.94248987920768,1.78159745864086,1.94676622527127,1.82201519413733
"10",3,2,1.73034894408284,1.99410914237912,5.66634018873659,1.83765111084157,2.17073240346494,1.66080813833568,2.07713991050136,1.63691283053544,1.64458892074055,1.65234737240501,1.67265701416579
"11",4,2,5.33065422308601,5.33065422308601,9.09033859001291,5.75478670005058,6.22511979658836,5.56776189222677,6.34735205765213,7.11872221786138,7.23812412306487,6.75325059307769,7.07409949593381
