"","series","t","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
"1",1,1,1.38212706799417,4.87175276285261,15.0810531738265,1.9558356438469,1.38212706799417,2.7237227348444,1.38212706799417,1.80631193510589,1.38212706799417,1.49894427240701,1.38212706799417
"2",2,1,4.10690902149836,3.51865853781654,9.53827996041439,2.81771733848069,2.08350868931441,3.09005085332981,2.02361127974173,1.68381725322572,2.18898119542478,1.68920736147392,1.9160339071357
"3",3,1,1.56557135623801,2.64433973515388,5.6858176537057,1.38733189448088,1.89535592377672,1.33041688978307,1.79870639166298,1.7615363444511,1.83498223142772,1.45591915473352,1.52884997515826
"4",4,1,5.9943527731584,5.9943527731584,9.56484624433234,6.3380629242729,6.84574634848945,6.18715448815854,7.00598382063389,6.92781018109705,7.5013246996538,7.01699447331473,7.49036495209793
"5",5,1,9.53008803173509,9.53008803173509,14.197706428453,10.2198783432749,9.6842248642054,10.2827287397476,9.48686361441866,8.16603526088275,8.04430712014491,8.56557384356745,8.33213130800969
"6",6,1,3.73957295845362,3.73957295845362,7.44442621006476,5.36598496958944,5.87744549946439,4.8833407851341,5.70320929695878,4.58862170401124,4.40041578289659,4.80151400570332,4.90546468228347
"7",7,1,5.20761863119029,5.20761863119029,7.01365815400179,3.94119648151314,3.50474612458714,4.3867741624662,3.67936372576514,4.61122668485298,4.46000227309175,4.48915275015456,4.40446356251613
"8",1,2,1.31568781043713,5.05287179189859,14.8289853823491,1.86372978786992,1.31568781043713,2.65226852215127,1.31568781043713,1.82566081114096,1.31568781043713,1.51114378646832,1.31568781043713
"9",2,2,4.10722130982678,3.67939110732608,9.43369636831359,2.73644831346364,2.07253437594415,2.90956935919636,1.93657158041021,1.66371029004739,1.98642379024628,1.65957964636295,1.79929003908387
"10",3,2,1.58454121375016,2.56008357439539,5.8332065697439,1.23149434614101,1.80464452810713,1.26050626894167,1.74687257458779,1.74293574797122,1.76653612286945,1.46862218828085,1.45575029382897
"11",4,2,5.31217921350739,5.31217921350739,9.01710670089408,5.83128009424364,6.39572051188223,5.5808187462511,6.52497844191488,6.61272078567142,7.25225729447503,6.79320515008443,7.24354991543428
"12",5,2,9.59953350123285,9.59953350123285,13.8146300362491,9.95977606557514,9.39265434257273,10.1128644824328,9.24575296287762,7.78699294057713,7.93506868374332,8.25500303548103,8.19986254464478
"13",6,2,3.7787555758275,3.7787555758275,7.5141795827199,5.40365725477726,5.89896471627034,4.93069649784344,5.76221574422716,4.70032786921178,4.47416652076602,4.9027951364868,4.9378901287132
"14",7,2,4.93168173975306,4.93168173975306,6.97856819648922,3.93494592161783,3.45418915384083,4.35762930091567,3.51281288230469,4.35939546283844,4.36209242553991,4.35878851486752,4.32818127705251
"15",1,3,1.29957997141104,4.65739571918247,15.1827619234912,1.85289351838203,1.29957997141104,2.69127008448287,1.29957997141104,2.00790948377391,1.29957997141104,1.65558456684985,1.29957997141104
"16",2,3,4.05921620011963,3.93541540411322,9.60337350970289,2.70170296049165,1.96039048892733,3.01157576311868,1.90843744935069,1.64221179965628,2.05309985892856,1.63438765156526,1.79668519734543
"17",3,3,1.64943188251699,2.47552579591185,5.86503042405961,1.34387119088772,1.85057079076929,1.28017294633726,1.8778390762618,1.82509529248751,1.9009207466012,1.52303209116211,1.51503677003852
"18",4,3,5.54152472278987,5.54152472278987,9.43683489754143,6.13113696496844,6.72537735679984,5.92857806585657,6.86803980484155,6.9408043885397,7.58893976762889,7.02645626741816,7.58293680917438
"19",5,3,9.95139015852542,9.95139015852542,14.1433736164609,10.3381260768828,9.72738772947274,10.5105241478744,9.546365123751,8.28343600933615,8.02534111559555,8.6029435982781,8.35127830204727
"20",6,3,3.83483279679579,3.83483279679579,7.6138927069157,5.57500500729691,6.11120710354915,5.02122136811693,5.95001928781901,4.71963337340828,4.63947199678941,4.94201024740126,5.09398226245793
"21",7,3,5.48723745730986,5.48723745730986,7.32970096755849,4.27661407769646,3.77709788623073,4.74889778334571,3.93630290746489,4.87217863577745,4.76729704472775,4.78162297438364,4.72759122888568
"22",1,4,1.39361108084838,4.8333124762323,14.9745894705553,1.90603055580541,1.39361108084838,2.61074363673193,1.39361108084838,1.90807578374192,1.39361108084838,1.64177486092217,1.39361108084838
"23",2,4,3.77927786282258,3.91045712185877,9.43109659220281,2.61072796361184,1.99640755127836,2.87257437836346,1.88707000332338,1.51919131652783,1.83060218954237,1.52761830884065,1.59807669384533
"24",3,4,1.73399574929673,2.25760257018206,5.90960336772403,1.39717501451877,1.86865146020639,1.20442503334064,1.88275872479737,1.63016789893383,1.72929963191167,1.3731339030123,1.4313276193799
"25",4,4,5.86316237782718,5.86316237782718,9.62130868186602,6.43326407052917,6.8872119817402,6.2629350508852,7.03393065357885,6.97467163634239,7.59577478375703,7.14883426205665,7.58800984453648
"26",5,4,9.66727893063314,9.66727893063314,14.1864495921357,10.1282994321469,9.6472326340718,10.2195221077953,9.4828978710846,8.2498046068963,8.13186378911844,8.57461031827731,8.414451127797
"27",6,4,3.83854461065256,3.83854461065256,7.4046481373887,5.26714044555999,5.68889373643462,4.8183109259158,5.52557785646035,4.54534862719493,4.47798910511114,4.75056005272581,4.85541077985504
"28",7,4,5.00383594935306,5.00383594935306,7.01037650715569,4.14574439218163,3.72657310812627,4.50440147269228,3.86358911346387,4.58469882549308,4.53770096658556,4.54674736002267,4.50498848181149
"29",1,5,1.21595642161827,5.30112997863929,15.3089824410295,1.65665924903526,1.21595642161827,2.66527289272238,1.21595642161827,1.67920721193,1.21595642161827,1.30533831100821,1.21595642161827
"30",2,5,3.96006810736537,4.02416543282868,9.69992643006262,2.66150533948244,2.02600936818088,3.01546378607444,1.93950797933961,1.7370180820249,1.99480168936463,1.73213713325934,1.73517773684371
"31",3,5,1.98048455115335,2.49271194352105,5.97990547810995,1.50638593618199,2.08826037731914,1.36698205358417,1.93913764538441,1.55806206498924,1.69564039466752,1.3949715778964,1.44140678861121
"32",4,5,4.86719806606053,4.86719806606053,8.92306940078863,5.70802553517663,6.2296423329894,5.43471654235744,6.31150204839502,6.61471562134852,7.13432455024666,6.7328479111905,7.08713851193175
"33",5,5,9.73736382323862,9.73736382323862,13.7499479852863,9.68599215015125,9.1269303490657,9.91790302723737,9.01663831682728,7.65827460443379,7.81611615856486,8.11912110953909,8.06924852412351
"34",6,5,3.86402213144003,3.86402213144003,7.69745409264562,5.41720186094665,5.94112881564175,4.93979897426796,5.84043369954295,4.76355071992552,4.61910133966731,4.94374096961724,5.03343577534876
"35",7,5,4.99728459480818,4.99728459480818,6.87323262033812,3.96792072443511,3.51622469628799,4.3586015569706,3.56908461540774,4.28644218646016,4.24460460358016,4.27121924504021,4.24651100195037
