"","series","t","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTSamc","MinTSamcv","MinTShrc","MinTShrcv"
"1",1,1,1.26548640017331,4.3131933440879,15.0445412549605,1.51351501626098,1.26548640017331,2.47752123750091,1.26548640017331,0.862935788693252,1.26548640017331,0.586865008284577,1.26548640017331
"2",2,1,4.17285289734831,3.63585215492774,9.5319409689512,2.99718845097506,2.4895895569779,3.27090084698134,2.38826729118628,2.00496773960274,1.9797000884804,2.03946360083799,2.01117417720416
"3",3,1,1.91939923036087,2.05714560582606,5.9230931786905,2.1607364233754,2.69888853913307,1.94230582093184,2.58711138000638,1.92841763625955,1.99020844401941,1.9397045768112,1.98913898482416
"4",4,1,5.31424690261936,5.31424690261936,9.12355365241152,5.79768215323912,6.31908151431835,5.56761606748077,6.44202861547701,7.70439204609594,7.32029390295451,7.19059534015166,7.15736264629451
"5",5,1,9.74125944143017,9.74125944143017,13.6731382465215,9.34482245441081,8.67821640600704,9.59015988349025,8.53864239859701,7.28190393098632,7.44910474770283,7.86493045576594,7.60032617052687
"6",6,1,3.89642804771984,3.89642804771984,7.49657324073777,5.27626973227724,5.72016466321032,4.83454025222675,5.5876944048231,4.93978429064029,4.70567294110405,5.01600269006224,4.96413228761212
"7",7,1,5.23775572533819,5.23775572533819,6.7702415383425,3.94310392242878,3.54560611377822,4.34389977422006,3.63633657695752,4.32876546746426,4.38082509075761,4.36401911225298,4.33689432445636
"8",1,2,1.46359788647771,4.05899196245351,15.273455898258,1.56738669905536,1.46359788647771,2.36137226346374,1.46359788647771,0.873730735338858,1.46359788647771,0.570528199824974,1.46359788647771
"9",2,2,3.59055737390862,3.00841505605662,9.41685110746568,2.50685346482733,2.12496100882406,2.7455418904359,2.00678579719385,1.61352780881453,1.9418633223841,1.60446071714787,2.00172948001642
"10",3,2,1.69442089623876,1.8290525814298,6.09909155786773,1.72433714082719,2.20258754639388,1.54996505818086,2.10171406603985,1.53642084495633,1.58558276244606,1.54577508597113,1.58466160858557
"11",4,2,5.63041089728132,5.63041089728132,9.51410292435104,6.11428201045992,6.61070737739735,5.91385257716238,6.72758689552539,8.0693593742975,7.63668870097974,7.53816098489237,7.46875756569902
"12",5,2,9.56246467680124,9.56246467680124,14.0070528043825,9.28571328469609,8.69206588289408,9.47756741765146,8.55333448822695,7.27655438972144,7.5162066582077,7.85852782543338,7.66801454684421
"13",6,2,3.79773434888136,3.79773434888136,7.66697152280112,5.119076721963,5.59058136243851,4.67753830968191,5.4589873179572,4.78190254087375,4.60221950621297,4.85628074778898,4.84110672295493
"14",7,2,5.40138874958739,5.40138874958739,7.25807695776948,4.18602747972264,3.78435836789684,4.55429041666373,3.87922282665433,4.4943476594906,4.58398130580307,4.5347356821098,4.54299760484711
"15",1,3,1.36123326294586,4.13550765678567,15.317877838964,1.45753545036975,1.36123326294586,2.29733412571324,1.36123326294586,0.87076690592781,1.36123326294586,0.560597000027348,1.36123326294586
"16",2,3,3.62212110238072,3.31663740973784,9.55990967031061,2.61078513888432,2.07235114098066,2.89407384076937,1.97070655227128,1.63576242488628,1.82724998471848,1.61839037893809,1.85893677610287
"17",3,3,1.60638665979008,1.87973397834952,5.82987060355766,1.72399815804479,2.24777724659227,1.49337513858003,2.16847836780933,1.50446859006307,1.52997605158634,1.50926690584335,1.54451980052687
"18",4,3,5.50544941283442,5.50544941283442,9.57241506347686,6.01351371194455,6.5762343262995,5.77842524662201,6.70507113729524,7.96441053853683,7.61208333171287,7.44910826315201,7.45398020936177
"19",5,3,9.56623871755335,9.56623871755335,13.8693718685399,9.2770698751915,8.66287782932404,9.47257592849838,8.52808423772474,7.28870772005102,7.47943329959936,7.84702332106719,7.63578561111102
"20",6,3,3.90448958252261,3.90448958252261,7.69095799317247,5.31823330280793,5.78469069088224,4.86760552706543,5.65588650105027,4.97373165247672,4.77001227494723,5.05094375003815,5.02026062721844
"21",7,3,5.45511068342298,5.45511068342298,7.1935425004203,4.1157048540423,3.64325699019521,4.52933160377016,3.7527898039726,4.50135872902292,4.56643862692177,4.53725570769451,4.52195578189506
"22",1,4,1.29139366726908,5.0031692727526,15.3214244843245,1.51328821781088,1.29139366726908,2.7651637275676,1.29139366726908,0.828133652599573,1.29139366726908,0.536661653732737,1.29139366726908
"23",2,4,4.2846522077514,3.9044663811808,9.58112592510877,3.01151856021411,2.38960099136285,3.3581801609409,2.28895725437963,1.91429809060974,2.06041900701367,1.93744145615368,2.10356622613233
"24",3,4,1.97384701835713,2.23427807859083,6.09415431376947,2.04195546753974,2.59618939083252,1.87482227729441,2.49942501541522,1.88345270461874,1.91161139831245,1.88527198933617,1.91558531787222
"25",4,4,5.22290624466955,5.22290624466955,9.19071663708671,5.79420412228314,6.40149869634782,5.54680934640321,6.51950860574597,7.74668871604552,7.56167843270613,7.26570363371004,7.41854426861324
"26",5,4,9.89819952649606,9.89819952649606,14.0019686700778,9.26402117730474,8.53255593944618,9.56610629453236,8.40744209121026,7.23800808245716,7.31405335859196,7.78875676364388,7.45774406742306
"27",6,4,3.95867421662423,3.95867421662423,7.78745534497052,5.37522061098799,5.94196501388073,4.89994227144919,5.82162770893824,5.03461134646208,4.86355464051089,5.10892342150923,5.10220964181381
"28",7,4,5.37534084877821,5.37534084877821,7.15740858784043,3.95468750155791,3.51201891313077,4.38440982789371,3.61067071575829,4.38696333290958,4.4133347197153,4.4204760513386,4.36895784047108
